pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection,padj_percollection,padj_joint
REACTOME_ACTIVATION_OF_RAC1,0.822834645669291,0.879824749532767,0.0538979025357319,-0.277739970977406,-0.714820747575395,13,PAK5,Reactome,0.879824749532767,0.875376122551326
GOBP_DEHYDROASCORBIC_ACID_TRANSPORT,0.822834645669291,0.875058174980036,0.0538979025357319,0.287795028515912,0.725062887200606,11,SLC2A5,GO:BP,0.875058174980036,0.875376122551326
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.822834645669291,0.875058174980036,0.0538979025357319,0.288280445973679,0.726285834606061,11,PDCD6;NEDD4;HGS,GO:BP,0.875058174980036,0.875376122551326
GOBP_SECRETORY_GRANULE_ORGANIZATION,0.822546972860125,0.875058174980036,0.0566484183613995,0.2208499430877,0.818688771122631,57,PLA2G3;MYCBPAP;VPS33B;AP3B1;RAB38;KNL1;AP3D1;MFSD14A;AP1B1,GO:BP,0.875058174980036,0.875376122551326
GOBP_HOST_MEDIATED_ACTIVATION_OF_VIRAL_PROCESS,0.824902723735409,0.87692494623288,0.0532386494755899,-0.224981038755461,-0.771012727402141,38,HPN;ZFYVE1;APOE;ZDHHC8;ZDHHC9;TBC1D20;EEF1A1,GO:BP,0.87692494623288,0.877338200519164
GOBP_REGULATION_OF_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_SIGNALING_PATHWAY,0.824949698189135,0.87692494623288,0.0547939500773363,-0.272469877994427,-0.735364010621439,14,SLC46A2;SLC15A2,GO:BP,0.87692494623288,0.877338200519164
GOBP_PROTEIN_DEACYLATION,0.825242718446602,0.877045225620234,0.0531298054705469,-0.227175765952119,-0.773359287994293,36,BEX4;TPPP;SIRT1;SIRT4;NOTUM;SIRT3,GO:BP,0.877045225620234,0.87750583400368
REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS,0.825910931174089,0.882207612746535,0.0550211117163117,0.263998048084343,0.719434482326254,16,HSP90AA1;PLCG1;GRB2;SHC1;CDC37,Reactome,0.882207612746535,0.878072300679014
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,0.826347305389222,0.882207612746535,0.0543434390269162,-0.25847483479169,-0.748165282750728,19,MYH14;RHOB,Reactome,0.882207612746535,0.878248095478443
GOBP_LAYER_FORMATION_IN_CEREBRAL_CORTEX,0.826347305389222,0.87802777534928,0.0543434390269162,-0.268692002389297,-0.709616496153744,13,GLI3;DAB2IP;RELN;DAB1;CTNNB1;SOCS7,GO:BP,0.87802777534928,0.878248095478443
GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,0.826693227091634,0.878203959760088,0.0542315935495841,-0.276520237218685,-0.717706466309362,12,TRAF6,GO:BP,0.878203959760088,0.878471684666483
GOBP_MALE_MEIOSIS_I,0.827450980392157,0.87881746469008,0.053457214108991,-0.244424036668308,-0.739477418239341,22,ZSCAN21;FOXJ2;FOXJ3;SYCP3,GO:BP,0.87881746469008,0.879132754741241
GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION,0.828451882845188,0.879688889536833,0.0564118388217596,0.235302732316417,0.736609809405994,26,ROBO1;BAX;IQGAP3;STAT6;BRCA2;PHB2;WNT5A;EPHA2;TFAP2C;GPX1,GO:BP,0.879688889536833,0.880051901773425
GOBP_ENDODERMAL_CELL_DIFFERENTIATION,0.829501915708812,0.88061209253128,0.0522693317499306,-0.22612027324382,-0.786992055805779,41,ITGA5;ITGA7;RTF1;GATA6;COL11A1;COL8A1;DKK1;NODAL;COL7A1;SETD2;INHBA;HMGA2;FN1;LAMB1,GO:BP,0.88061209253128,0.881022929483581
REACTOME_SERINE_METABOLISM,0.829918032786885,0.885331814479177,0.0553642837725362,0.289463206096214,0.714700907228903,11,SRR;PSPH;PHGDH,Reactome,0.885331814479177,0.881320460509881
GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.830152671755725,0.881111107418571,0.0520570030732099,-0.238577658804482,-0.751893186785562,26,BCL6,GO:BP,0.881111107418571,0.881425207347453
GOBP_CELLULAR_RESPONSE_TO_MURAMYL_DIPEPTIDE,0.830985915492958,0.881534606772254,0.0544555953940371,0.291012350118542,0.710322718621811,10,NOD2;TRIM41,GO:BP,0.881534606772254,0.881991245689868
GOBP_REGULATION_OF_ERAD_PATHWAY,0.831094049904031,0.881534606772254,0.0522693317499306,-0.237069569797409,-0.737697643070499,25,SVIP;SIK2;USP13;RNFT2;AQP11;HERPUD1;CAV1,GO:BP,0.881534606772254,0.881991245689868
