pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,1.07463426183402e-16,1.06590485615827e-14,1.05746357275086,0.639134845467483,2.78127602887528,121,NDEL1;MAD2L1;ZWILCH;CCNB2;CENPN;MIS12;CCNB1;AURKB;NUP107;CENPA;HDAC8;CDCA8;NUP37;BIRC5;ZWINT;CDC20;CENPP;CDCA5;BUB1;SKA1;NDC80;KIF2C;CENPU;NUF2;SPC24;BUB1B;CDK1;PLK1;SPDL1;KIF18A,Reactome
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,1.0884513483746e-16,1.06590485615827e-14,1.05746357275086,0.49339214903819,2.41738246572152,286,SRSF2;PRPF4;SNRPA1;NDC1;NUP210;HNRNPA2B1;NUP107;SRSF3;NUP37;PTBP1;CSTF2;SNIP1;NXF1;SNRPD1;EFTUD2;UPF3B;SLBP;CSTF1;HNRNPM;CCAR1;HNRNPR;THOC6;HNRNPC;DHX8;THOC5;RBBP6;CPSF3;NUP160;EIF4A3;NUP93,Reactome
REACTOME_MITOCHONDRIAL_TRANSLATION,1.23287685097078e-16,1.12684944178729e-14,1.04762648849882,0.65063592348796,2.78895740421377,112,ERAL1;GFM1;MRPL17;MRPL44;MRPS15;MRPL52;MRRF;MRPL3;MRPL57;MRPS2;TSFM;MRPS25;MRPL15;MRPL37;MRPL18;MRPL46;MRPS5;MRPS18C;MRPL35;MRPS11;MRPL30;MIEF1;MRPL32;MTIF2;MRPL58;MRPS35;MRPL4;MRPL22;MTFMT;MRPL12,Reactome
REACTOME_NEUTROPHIL_DEGRANULATION,1.94137862979092e-16,1.6635188134021e-14,1.04762648849882,0.434284600539092,2.20694917351324,436,S100A7;S100A12;SERPINB3;PTPRC;FABP5;CXCR2;LTF;BIN2;S100A8;FRK;DOK3;HSPA6;RAB27A;ARHGAP9;CALML5;CMTM6;CTSS;PTAFR;KPNB1;S100A9;GM2A;ITGAL;SLC2A5;NCKAP1L;CSNK2B;LRG1;OSTF1;PGM2;PYCARD;TOLLIP,Reactome
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,1.12345787640036e-16,2.18624902747509e-14,1.04762648849882,0.457566005288463,2.29308449293849,371,IL7R;GZMB;SYK;CD28;KLRB1;BCL3;MYO1G;PTPRC;LAG3;SH2D1A;NOS2;SERPINB4;IL18RAP;IL2RG;RAB27A;LGALS9;TNF;HSPD1;FCRLB;TLR8;PLA2G3;FUT7;IL12RB1;KLRK1;RSAD2;TIGIT;NCKAP1L;CD2;IRF7;CAMK4,GO:BP
GOBP_MITOTIC_NUCLEAR_DIVISION,1.31770298391898e-16,2.40039683167464e-14,1.04762648849882,0.4966749520697,2.402446976902,280,CD28;NDEL1;PRC1;MAD2L1;ZWILCH;LCMT1;TNF;KIF23;AURKA;KPNB1;MIS12;CCNB1;AURKB;NCAPH;SMPD3;KIF22;UBE2C;RCC1;NUSAP1;CENPA;CDCA8;MYBL2;BIRC5;ZWINT;CDC23;TRIP13;CHEK1;CDC20;DLGAP5;BUB1,GO:BP
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,1.33218323648952e-16,2.40039683167464e-14,1.04762648849882,0.481304760109993,2.35427127994979,296,TNIP3;SYK;OAS1;FFAR2;NMI;GBP2;LTF;GBP5;NOD2;S100A8;PTPN22;IFI16;TRIM15;PYDC1;LGALS9;IFIH1;NLRX1;TNF;CTSS;HSPD1;S100A9;TLR8;PYHIN1;KLRK1;RSAD2;AURKB;CSNK1A1;NAGK;OAS3;IRF7,GO:BP
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,3.00920450591815e-16,2.42683492800811e-14,1.03769615548758,0.651284109037516,2.78671142033786,110,NDEL1;MAD2L1;ZWILCH;CENPN;MIS12;AURKB;NUP107;UBE2C;CENPA;CDCA8;NUP37;BIRC5;ZWINT;CDC23;CDC20;CENPP;BUB1;SKA1;NDC80;KIF2C;CENPU;NUF2;SPC24;BUB1B;PLK1;SPDL1;KIF18A;PPP2CA;CENPS;NUP160,Reactome
GOBP_REGULATION_OF_VIRAL_PROCESS,1.60274893310975e-16,2.68874950330309e-14,1.04762648849882,0.631913527972431,2.69853358605205,124,CD28;OAS1;ADAR;IFIT1;STAT1;IFIT5;OAS2;LTF;IFI16;TRIM15;SP100;ILF3;LGALS9;IFIH1;TNF;RSAD2;KPNA2;MX1;OAS3;CSNK2B;TRIM25;TRIM21;ZNFX1;TMPRSS4;ISG15;SMPD1;TOP2A;PLSCR1;OASL;APOBEC3A,GO:BP
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION,1.58759088368239e-16,2.68874950330309e-14,1.04762648849882,0.422717746092619,2.18574493408628,478,PLA2G2F;CCR7;ICOS;IL7R;IDO1;IKZF3;SYK;CD28;PTPRC;LAG3;NOD2;FANCD2;PTPN22;PGLYRP2;IL2RG;PSMB8;LGALS9;HSPD1;HMGB3;IL12RB1;KLRK1;LAPTM5;DOCK8;CD83;SIT1;TIGIT;PSMB9;NCKAP1L;SAMSN1;CD2,GO:BP
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,1.66539237553699e-16,2.70071130232916e-14,1.04762648849882,0.461336485912927,2.29317991719777,341,IL17A;IL7R;SYK;CD28;KLRB1;FFAR2;PTPRC;LAG3;SH2D1A;NOS2;NOD2;PGLYRP2;SERPINB4;IL18RAP;IL2RG;LGALS9;TNF;HSPD1;S100A9;PLA2G3;FUT7;IL12RB1;KLRK1;RSAD2;LAPTM5;TIGIT;NCKAP1L;CFB;CAMK4;CD226,GO:BP
GOBP_SISTER_CHROMATID_SEGREGATION,2.04066265547977e-16,3.20252381255132e-14,1.04762648849882,0.524052140957347,2.49884239183713,236,PRC1;MAD2L1;ZWILCH;LCMT1;KIF23;KPNB1;MIS12;CCNB1;AURKB;NCAPH;KIF22;CDC6;UBE2C;RCC1;NUSAP1;CENPA;CDCA8;MYBL2;BIRC5;ZWINT;CDC23;TRIP13;CDC20;DLGAP5;TOP2A;TACC3;BUB1;PINX1;TTK;CEP55,GO:BP
GOBP_DNA_REPLICATION,2.18851520107725e-16,3.32722701663776e-14,1.04762648849882,0.478362324536441,2.34645512065984,305,MCM6;POLD3;RFC3;RFC5;GINS2;RPA3;MCM4;TICRR;CDC6;TIMELESS;CCNA2;RFC4;POLB;MCMBP;EXO1;CDC25A;MCM2;ORC1;MEAF6;POLE2;ATAD5;BLM;FEN1;RUVBL1;CHEK1;ORC6;RAD51;SSRP1;DHFR;TWNK,GO:BP
