theme,pathway,label,collection,NES,ES,padj_joint,padj_percollection,size
Other,GOBP_TRANSCRIPTION_ELONGATION_BY_RNA_POLYMERASE_II,TRANSCRIPTION_ELONGATION_BY_RNA_POLYMERASE_II,GO:BP,1.77358105505628,0.40205980555543,0.00120387513384998,0.00120387513384998,134
Other,GOBP_DETECTION_OF_OTHER_ORGANISM,DETECTION_OF_OTHER_ORGANISM,GO:BP,2.05763298881332,0.717117310866544,0.00120669441907522,0.00120669441907522,17
Other,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,GO:BP,1.86929930843934,0.444731083636331,0.00126819617522521,0.00126819617522521,97
RNA processing / translation,GOBP_POSITIVE_REGULATION_OF_MRNA_PROCESSING,POSITIVE_REGULATION_OF_MRNA_PROCESSING,GO:BP,2.05647151842166,0.669173511689722,0.00135172816112256,0.00135172816112256,22
Other,REACTOME_LEISHMANIA_INFECTION,LEISHMANIA_INFECTION,Reactome,1.71581903423828,0.378295206082798,0.00142327466134531,0.00142327466134531,161
Proliferation / cell cycle,GOBP_SPINDLE_ELONGATION,SPINDLE_ELONGATION,GO:BP,2.03761244979007,0.757567044228056,0.00146486448909933,0.00146486448909933,14
Other,REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,Reactome,2.0436073599045,0.633399224246649,0.00151062955988401,0.00151062955988401,27
Inflammatory signaling (IL/JAK-STAT/TNF),HALLMARK_INFLAMMATORY_RESPONSE,INFLAMMATORY_RESPONSE,Hallmark,1.68791641503041,0.363893595480961,0.00157496448427844,0.00157496448427844,183
Other,KEGG_PRIMARY_IMMUNODEFICIENCY,PRIMARY_IMMUNODEFICIENCY,KEGG,2.06005666500279,0.62842205240299,0.00176626214220727,0.00176626214220727,29
Other,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,FC_EPSILON_RI_SIGNALING_PATHWAY,KEGG,1.90954993408625,0.479587855039261,0.00182784755544515,0.00182784755544515,68
