pathway,k,meanNES,nUp,Zc_up,p_stouffer_up,p_fisher,size,collection,FDR_stouffer_up,FDR_fisher,direction_consistent
GOBP_NEURON_PROJECTION_EXTENSION,4,-1.2959023660474,0,-4.14088359807414,0.999982701474689,0.000426712972851257,149,GO:BP,1,0.00134819228060333,TRUE
GOBP_PHARYNGEAL_SYSTEM_DEVELOPMENT,4,-1.08427198400455,1,-4.14191676125966,0.99998277923259,2.62725833639663e-07,26,GO:BP,1,1.59301684239049e-06,FALSE
GOBP_NEUROTRANSMITTER_GATED_ION_CHANNEL_CLUSTERING,4,-1.48949219535163,0,-4.14998118725879,0.999983374869924,0.000278827995320695,15,GO:BP,1,0.000918795347218094,TRUE
GOBP_NEUROTROPHIN_SIGNALING_PATHWAY,4,-1.48042603638308,0,-4.15572321110153,0.99998378699026,0.000146222455855576,37,GO:BP,1,0.000516120674841752,TRUE
GOBP_FATTY_ACID_BETA_OXIDATION,4,-0.992480230934923,1,-4.16264955975818,0.999984271201712,1.35690154588522e-06,70,GO:BP,1,7.24229732864465e-06,FALSE
GOBP_REGULATION_OF_NEURON_DIFFERENTIATION,4,-0.886749547116326,1,-4.1634699523362,0.999984327635435,3.1185591680444e-11,145,GO:BP,1,3.27076865367073e-10,FALSE
GOBP_LIPID_OXIDATION,4,-0.926674816014147,1,-4.16611242839241,0.999984508102867,1.97880123031949e-07,111,GO:BP,1,1.22229884985184e-06,FALSE
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,4,-1.00969344098595,1,-4.16801820412084,0.999984637029945,1.59191805971124e-07,55,Reactome,1,1.00496492247991e-06,FALSE
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE,4,-1.35083392134121,0,-4.1688042025237,0.999984689905755,0.000105634703006439,83,GO:BP,1,0.00038247647405789,TRUE
GOBP_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY,3,-1.67839192683913,0,-4.17124653345936,0.999984853105225,0.000258996832837543,13,GO:BP,1,0.000860195608931235,TRUE
REACTOME_SIGNALING_BY_ACTIVIN,4,-1.52980494700496,0,-4.17278888329921,0.99998495531373,0.0003195581494781,17,Reactome,1,0.00103797395967849,TRUE
REACTOME_ION_HOMEOSTASIS,4,-1.04082149570839,1,-4.17500279317092,0.99998510088012,1.16739591078621e-06,51,Reactome,1,6.29706526856635e-06,FALSE
GOBP_MALE_SEX_DIFFERENTIATION,4,-0.899435857617644,1,-4.17539148252166,0.999985126298225,3.99962814905779e-09,128,GO:BP,1,3.26553798259087e-08,FALSE
GOBP_AXO_DENDRITIC_TRANSPORT,4,-1.37243866965592,0,-4.17810614051766,0.999985302675928,0.000136020988886698,88,GO:BP,1,0.000483360618999168,TRUE
GOBP_NEGATIVE_REGULATION_OF_SECRETION,4,-1.31276270456374,0,-4.18432749329628,0.999985699422986,0.000406253530398895,140,GO:BP,1,0.00129133254024959,TRUE
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT,4,-1.10513243859422,1,-4.1853618143204,0.999985764388434,2.43278353441118e-08,33,GO:BP,1,1.77337822944868e-07,FALSE
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,4,-0.900028871423824,1,-4.18963720357201,0.999986029959826,1.02248017146765e-07,129,GO:BP,1,6.69841280156118e-07,FALSE
REACTOME_NEUREXINS_AND_NEUROLIGINS,4,-1.41757483124957,0,-4.1912006828786,0.999986125895885,5.72730805012206e-05,50,Reactome,1,0.000219413770073491,TRUE
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS,4,-1.01434859101238,1,-4.19143183121537,0.99998614002603,7.15378278216568e-06,79,Reactome,1,3.37337419685111e-05,FALSE
GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION,3,-1.68761677777938,0,-4.19319664651936,0.999986247459404,0.000197528738615401,10,GO:BP,1,0.000674131965155612,TRUE
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT,4,-1.4310258078137,0,-4.19328956070568,0.99998625309357,0.00038244926498044,52,GO:BP,1,0.00122120900342496,TRUE
