rank,gene,gene_types,logFC,direction,SE,P,FDR,FDR_lncRNA,I2,I2_flag,k,k_flag,confidence
142,AP003068.23,antisense,0.551583713252675,up_in_PP,0.0823856767979753,2.15463944601785e-11,3.3813133247401e-10,3.72924995316769e-10,0,low,4,all4,A_high
143,RP11-798G7.8,TEC;lincRNA,-0.550902951337549,down_in_PP,0.169800611104392,0.00117693837182499,0.00406735100312714,0.00448293339338621,28.1132114585443,low,3,k3,A_high
144,CTD-2267D19.3,antisense,0.548715042672214,up_in_PP,0.0876983037967851,3.92833474889971e-10,5.20634190782256e-09,5.8212001570168e-09,42.8341243156432,low,4,all4,A_high
145,LINC00639,lincRNA,-0.544760586782357,down_in_PP,0.146847898695711,0.000207510914989388,0.000899920150798413,0.000985619900284393,30.9584218880223,low,3,k3,A_high
146,CTD-3110H11.1,lincRNA,-0.541947078648842,down_in_PP,0.175840764637275,0.00205591889661209,0.00657128419677237,0.00721489137521534,43.0154190300675,low,3,k3,A_high
147,RP11-342M3.5,antisense,-0.540096912326973,down_in_PP,0.0657907487272218,2.22455842305426e-16,5.93736775277804e-15,6.59292075106561e-15,0,low,3,k3,A_high
148,KIZ-AS1,antisense,-0.539479971751904,down_in_PP,0.113793897198094,2.12821849632793e-06,1.49488262205635e-05,1.68659366915952e-05,46.6259319483226,low,3,k3,A_high
149,RP11-734K23.9,lincRNA,-0.532376091181181,down_in_PP,0.111272232457928,1.71458789030006e-06,1.22599148949215e-05,1.38414585845678e-05,0,low,4,all4,A_high
150,SEMA6A-AS1,antisense,-0.528940096514328,down_in_PP,0.106251910389001,6.41881934733589e-07,4.97890592642934e-06,5.61095582139846e-06,39.767227395203,low,4,all4,A_high
151,RP11-456H18.2,lincRNA,-0.524792050970676,down_in_PP,0.190519443764472,0.00587760038589734,0.0160026530006908,0.0173837162472849,37.9612960851666,low,3,k3,A_high
152,KLHL7-AS1,lincRNA,-0.524496606560115,down_in_PP,0.170544763752423,0.00210207017928502,0.00670170243394493,0.00735894633152612,14.0095277647554,low,4,all4,A_high
153,SNHG25,lincRNA,0.520795698432594,up_in_PP,0.112692339086706,3.8117009863018e-06,2.5447216334229e-05,2.85844543634799e-05,0,low,3,k3,A_high
154,CTB-39G8.3,antisense,0.520605091754176,up_in_PP,0.0779163418805914,2.36362695901444e-11,3.68619905705165e-10,4.07466687316952e-10,17.4200627673114,low,4,all4,A_high
155,AC114730.7,antisense,-0.519838740623562,down_in_PP,0.141954369995437,0.000250241210653448,0.0010606367700654,0.00115963576873185,0,low,3,k3,A_high
156,RP11-554A11.5,antisense,-0.5175914534746,down_in_PP,0.139321720402741,0.000203138744245391,0.000882792140466753,0.000968041130341197,46.0473054681223,low,3,k3,A_high
157,LGALS8-AS1,antisense,0.517200184084284,up_in_PP,0.048723274336183,2.53647953826789e-26,1.52810697567476e-24,1.89230120035951e-24,0,low,4,all4,A_high
158,AC037445.1,antisense,-0.516694271771951,down_in_PP,0.1186976326186,1.34269201576282e-05,7.85677032431658e-05,8.71038733464126e-05,35.6870141796783,low,3,k3,A_high
159,RP11-390P24.1,lincRNA,-0.513811047601196,down_in_PP,0.101314537592735,3.94807550213587e-07,3.19182800756546e-06,3.63474951015785e-06,29.2389685190885,low,4,all4,A_high
160,BX322557.10,processed_transcript,-0.512260942690498,down_in_PP,0.0643774996738349,1.7605781771566e-15,4.33434285617866e-14,4.85224316723351e-14,0,low,4,all4,A_high
161,AC096579.15,processed_transcript,0.510648541549864,up_in_PP,0.193800753032156,0.00841583162817607,0.0216081930401955,0.0233431432404602,0,low,3,k3,A_high
162,RP5-857K21.4,lincRNA,0.505378182278552,up_in_PP,0.0931987221996465,5.87425977995731e-08,5.57443008728853e-07,6.40249926142954e-07,26.9837888075164,low,4,all4,A_high
163,AC159540.2,lincRNA,-0.504302284939235,down_in_PP,0.150799170888292,0.000825208208959732,0.00300688690505217,0.0033308544031425,13.386910978512,low,3,k3,A_high
164,SNHG1,processed_transcript,0.503375009062107,up_in_PP,0.0838623866767023,1.94430300469332e-09,2.32259875613079e-08,2.62087199417695e-08,44.0313914379684,low,4,all4,A_high
165,CTD-2651B20.1,3prime_overlapping_ncRNA,0.502187840957842,up_in_PP,0.118850603767733,2.38547922851924e-05,0.000132092091085173,0.00014620352155528,36.1873751168455,low,4,all4,A_high
166,RP4-758J18.13,lincRNA,0.501750976854987,up_in_PP,0.0860313761460121,5.47059278101447e-09,6.13166351868447e-08,6.80208475961196e-08,33.655736658029,low,4,all4,A_high
167,CTC-467M3.1,antisense,-0.501422302687276,down_in_PP,0.0691660378744608,4.18174073497536e-13,8.08039986892463e-12,9.04719608011919e-12,0,low,3,k3,A_high
168,RP11-74J13.8,antisense,-0.497543653871331,down_in_PP,0.0829840226928831,2.02665628412688e-09,2.41292445571439e-08,2.71496648341084e-08,35.7795029770602,low,4,all4,A_high
169,AC012074.2,lincRNA,-0.496464750087978,down_in_PP,0.0944336293176184,1.46195576227975e-07,1.28604897557933e-06,1.45422588123781e-06,0,low,3,k3,A_high
170,CTD-2553L13.10,lincRNA,-0.494558550012759,down_in_PP,0.0893414702033895,3.10166535908589e-08,3.06763761757737e-07,3.47691865512038e-07,11.3092730972058,low,3,k3,A_high
171,RP11-389C8.2,sense_overlapping,0.493599951029268,up_in_PP,0.0651333438901556,3.50114945380423e-14,7.57735817022812e-13,8.23340961228854e-13,0,low,3,k3,A_high
172,NKILA,antisense,-0.492471425899936,down_in_PP,0.123360584145328,6.54825967476525e-05,0.000324975215780132,0.000356406536008921,0,low,3,k3,A_high
173,RP11-1228E12.1,lincRNA,0.491774715616508,up_in_PP,0.0952086509492099,2.40141618597933e-07,2.02368165612017e-06,2.28875062483096e-06,0,low,4,all4,A_high
174,ZNF793-AS1,antisense,-0.48795956636858,down_in_PP,0.0817302621406916,2.36722150938046e-09,2.78924802388778e-08,3.11336397297546e-08,0,low,4,all4,A_high
175,BISPR,lincRNA,0.487412308214543,up_in_PP,0.0797233139608555,9.72868979888321e-10,1.22154520911629e-08,1.36233141617371e-08,0,low,3,k3,A_high
176,RP11-485M7.3,lincRNA,0.48472932129247,up_in_PP,0.164765222691159,0.00326163614261805,0.00976387064098107,0.0106917421129608,43.9855172237407,low,3,k3,A_high
177,RP11-535A19.2,antisense,-0.484403901635551,down_in_PP,0.0622146721391747,6.91598663497574e-15,1.61837961760749e-13,1.80273940780362e-13,0,low,4,all4,A_high
178,RP11-33N14.3,antisense,0.480600291594557,up_in_PP,0.0656419502678344,2.45137691587318e-13,4.86047533746944e-12,5.4675813994759e-12,23.9515493384896,low,4,all4,A_high
179,RP11-342K6.2,sense_intronic,-0.478506814297196,down_in_PP,0.0665014591398332,6.22627134315574e-13,1.17413703839104e-11,1.31419883423585e-11,37.7008941866527,low,4,all4,A_high
180,RP4-621N11.2,antisense,0.477286455258127,up_in_PP,0.148080452941576,0.00126786319782321,0.00432845490585005,0.00475393765769587,41.1024460404853,low,3,k3,A_high
181,RP11-850A17.1,antisense,-0.476271959405192,down_in_PP,0.114232762231267,3.05521298081377e-05,0.000165270338280066,0.000183865181752172,49.3119199477279,low,4,all4,A_high
182,LINC01641,lincRNA,-0.476181690560034,down_in_PP,0.147546125362974,0.00124946368996754,0.0042767084127242,0.00469308106466106,45.6454007513062,low,3,k3,A_high
183,ZNF436-AS1,antisense,-0.475909325076891,down_in_PP,0.0919424273401342,2.26491180970934e-07,1.91573472072007e-06,2.17300962319564e-06,31.4988451356935,low,4,all4,A_high
184,TNK2-AS1,antisense,-0.475041750068358,down_in_PP,0.0878320597763335,6.35464878015562e-08,5.98722585444587e-07,6.87414131793334e-07,23.1710987404017,low,4,all4,A_high
185,RP11-334E6.12,sense_intronic,0.474600553608466,up_in_PP,0.116216735358771,4.43139494311885e-05,0.000230318581635099,0.000254415861318773,20.2287235412755,low,4,all4,A_high
186,RP11-468E2.10,lincRNA,-0.471116475935034,down_in_PP,0.0980996772041068,1.56754473728959e-06,1.13052118560516e-05,1.28086566158604e-05,0,low,3,k3,A_high
187,RP4-693M11.3,antisense,-0.4710260719526,down_in_PP,0.0936811964033715,4.95704177387036e-07,3.93392593213233e-06,4.46856661573688e-06,0,low,4,all4,A_high
188,RP11-57A1.1,lincRNA,0.468844710831247,up_in_PP,0.0701773682795547,2.37554746214919e-11,3.70248572738701e-10,4.07896582092045e-10,0,low,4,all4,A_high
189,RP5-965G21.6,antisense,-0.468395380435964,down_in_PP,0.108358577872416,1.5417152893809e-05,8.90082206460817e-05,9.8829660105943e-05,15.3216497206624,low,4,all4,A_high
190,KLF3-AS1,processed_transcript,-0.468166574721762,down_in_PP,0.0580143053171193,7.03862456463242e-16,1.79635446882706e-14,1.99059663340944e-14,0,low,4,all4,A_high
191,CTD-2659N19.2,antisense,0.466927488453781,up_in_PP,0.112368815138975,3.2484392496461e-05,0.000174629739327822,0.000193690868049707,45.4740103683989,low,3,k3,A_high
192,RP11-876N24.5,sense_intronic,0.464116120732391,up_in_PP,0.0970369668378221,1.72801713107513e-06,1.23453721034792e-05,1.38980113869184e-05,42.5144047603991,low,4,all4,A_high
193,NPHP3-AS1,antisense,-0.461958900017054,down_in_PP,0.117379229177199,8.29855490661408e-05,0.00040022584018311,0.000439508532202192,42.1517061644656,low,4,all4,A_high
194,RP11-428J1.4,lincRNA,-0.46188851805313,down_in_PP,0.103059148409149,7.40227351968632e-06,4.6090876757858e-05,5.14945940830912e-05,0,low,3,k3,A_high
195,RP11-554E23.4,antisense,0.461598773500058,up_in_PP,0.0596354977947575,9.91546476364992e-15,2.26528147590332e-13,2.50901848142183e-13,0,low,4,all4,A_high
196,CTA-228A9.3,lincRNA,-0.460300676886239,down_in_PP,0.127568001972569,0.000308237393668017,0.0012738075412241,0.00140104235859622,0,low,3,k3,A_high
197,RP11-87F15.2,antisense,0.457764075634611,up_in_PP,0.0678304489717321,1.49225313888787e-11,2.38817676671825e-10,2.60362069837412e-10,33.2309988746113,low,4,all4,A_high
198,AC090616.2,antisense,-0.452504066693982,down_in_PP,0.0904805769632069,5.69987310072441e-07,4.46686115229378e-06,5.04363004229745e-06,39.5526990119633,low,4,all4,A_high
199,CTD-2630F21.1,antisense,-0.452435333663835,down_in_PP,0.0799344788101356,1.51304775314384e-08,1.57475094639913e-07,1.76944800752794e-07,0,low,3,k3,A_high
200,AC010761.10,antisense,0.451964076222324,up_in_PP,0.0784404689182114,8.31852304884456e-09,9.03679343953803e-08,1.00824227541598e-07,0,low,3,k3,A_high
201,RP11-799B12.4,lincRNA,-0.450743533414471,down_in_PP,0.0520540365292495,4.75309218879327e-18,1.47245978288674e-16,1.69972147941392e-16,0,low,4,all4,A_high
202,RP11-831H9.3,antisense,0.449269479050605,up_in_PP,0.112670577662751,6.67843163024708e-05,0.000330845727450588,0.00036303484502612,41.6286676019442,low,3,k3,A_high
203,RP11-632F7.3,antisense,-0.447556403791491,down_in_PP,0.060037783621752,9.0155211509762e-14,1.87819610212606e-12,2.06402963070233e-12,0,low,4,all4,A_high
204,RP11-524H19.2,antisense,0.445900688153869,up_in_PP,0.168493383467153,0.0081353842860642,0.0209870304660155,0.0227108437456773,18.6309527691682,low,4,all4,A_high
205,CTD-2366F13.1,antisense,-0.442426244296292,down_in_PP,0.0966325630077822,4.68459910308099e-06,3.06221759836765e-05,3.41825637757697e-05,21.8224594712842,low,4,all4,A_high
206,CTD-2653D5.1,antisense,-0.441919437643949,down_in_PP,0.0779326044286384,1.4235359936658e-08,1.48838794631841e-07,1.6738152838565e-07,5.44957816062801,low,4,all4,A_high
207,MAFG-AS1,antisense,0.441115267146262,up_in_PP,0.0846522132782518,1.87914179214505e-07,1.62080929236374e-06,1.83545068501391e-06,8.27995396969041,low,4,all4,A_high
208,RP1-257A7.4,antisense,-0.437882586065553,down_in_PP,0.0802629901583127,4.88083803877282e-08,4.69572218532531e-07,5.38759851881888e-07,0,low,4,all4,A_high
209,LINC00926,lincRNA,-0.437212529485546,down_in_PP,0.0891538432529968,9.38933185252366e-07,7.07715593647964e-06,8.07706539281707e-06,0,low,4,all4,A_high
210,RP1-221C16.8,antisense,-0.436619003101831,down_in_PP,0.148894545063133,0.0033634857417464,0.0100149316454376,0.0109591888588379,0,low,3,k3,A_high
211,FAM87A,lincRNA,-0.434562770720968,down_in_PP,0.083059086475521,1.67711640776672e-07,1.46096250995653e-06,1.66061388933789e-06,0,low,4,all4,A_high
212,CTD-2292P10.4,antisense,-0.434374320706878,down_in_PP,0.072213581833436,1.79738736202154e-09,2.15944976351792e-08,2.44569028788277e-08,0,low,4,all4,A_high
213,RP11-73M18.6,sense_intronic,-0.434142088620299,down_in_PP,0.0967080209143693,7.14896215026094e-06,4.46689826501719e-05,5.00543029517461e-05,1.20086278183033,low,4,all4,A_high
214,OXCT1-AS1,processed_transcript,0.433100308616561,up_in_PP,0.0553466707946457,5.06738364174777e-15,1.19923294456546e-13,1.32888297077834e-13,6.78555967677862,low,4,all4,A_high
215,KCNQ1OT1,antisense,-0.430303522596387,down_in_PP,0.0759124229576646,1.44120045058001e-08,1.5030947021405e-07,1.68999304868827e-07,16.2648613873843,low,4,all4,A_high
216,RP11-575L7.2,antisense,-0.429711495793975,down_in_PP,0.0718378114000471,2.20834681597211e-09,2.60941008495488e-08,2.93114008365378e-08,0,low,4,all4,A_high
