lncRNA,logFC,direction,FDR,I2,k,confidence,STAT3_r,STAT3_fdr,STAT3_k,IL1_inflammasome_topr,IL36_topr,STAT3_JAK_STAT_topr,Th17_output_topr,IL1_inflammasome_nsig,IL36_nsig,STAT3_JAK_STAT_nsig,Th17_output_nsig,STAT3_linked
RP11-30K9.5,-0.527817535892226,down_in_PP,0.0077022033763974,77.8240061467508,4,C_significant_but_flagged,0.0250763412455236,0.770996221657122,4.0,-0.237,-0.163,0.301,-0.232,5.0,1.0,6.0,3.0,False
RP11-345J18.2,-0.52628955393573,down_in_PP,0.0001789985962512,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
TMEM220-AS1,-0.523656682194585,down_in_PP,0.0075613904560729,80.6667841895023,3,C_significant_but_flagged,-0.003643242385632,0.968571689411685,3.0,0.353,,-0.271,0.263,8.0,,3.0,2.0,False
SNHG15,0.521689407898553,up_in_PP,0.0024613716351554,84.2007704495507,4,C_significant_but_flagged,0.124819496574427,0.0821559941568433,4.0,0.288,0.313,-0.46,-0.197,6.0,3.0,6.0,4.0,False
RP11-84A19.4,-0.521621052415006,down_in_PP,0.0440650604915351,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP4-591N18.2,-0.519100384705068,down_in_PP,0.0225006783767269,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-386J22.3,-0.519009434288075,down_in_PP,0.0457500490737062,32.6663114615642,2,C_significant_but_flagged,,,,,,,,,,,,False
RP3-521E19.2,-0.518131701279427,down_in_PP,2.80958512071448e-07,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP4-665N4.8,-0.517629393782716,down_in_PP,7.1779933914077e-07,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
SH3BP5-AS1,-0.517368085527568,down_in_PP,5.95276571604564e-05,77.8801530987634,4,C_significant_but_flagged,-0.290964586360299,6.97132885246081e-06,4.0,-0.616,-0.435,0.569,-0.327,9.0,5.0,7.0,5.0,False
AC007255.8,-0.516681721342417,down_in_PP,0.0374650943414179,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
