"gene","logFC","SE","P","I2","k","FDR"
"ZNF295-AS1",-1.53583811396627,0.352265296295133,1.30127551375961e-05,0,2,6.52369292845694e-05
"USP3-AS1",0.344897560573652,0.0791198412789748,1.30551221969668e-05,71.8400867992757,4,6.54361355673811e-05
"AGGF1",0.239719355080188,0.0549959599421643,1.30745351177111e-05,59.4835716474604,4,6.55202318091503e-05
"EPOR",-0.343375971252479,0.0787867928020771,1.31080488302742e-05,18.9723241263377,4,6.56749430210757e-05
"TMEM47",-1.43281611393421,0.328795430045305,1.31392068779595e-05,88.6088231829469,4,6.58070198266337e-05
"HS6ST2",-1.83899891645528,0.422005015543751,1.31397029453566e-05,83.5604264578253,4,6.58070198266337e-05
"RPL13AP7",-0.172670153061854,0.0396279237048016,1.3168581712468e-05,0,4,6.59383714986366e-05
"RP11-412D9.4",-0.917050266387619,0.210484764227437,1.31948424292323e-05,22.1597286909613,3,6.6056563689408e-05
"TONSL",0.534833080991808,0.122758891369172,1.31991786847849e-05,54.5575947620108,4,6.60649712511798e-05
"MYRFL",-0.95686700282294,0.219651135324221,1.32277351771923e-05,47.1469200078087,4,6.61945789728444e-05
"MBD1",0.354183263075542,0.0813091654623271,1.3245677144956e-05,79.929212808383,4,6.62710277437577e-05
"GJB4",-2.73996503655527,0.629044032005321,1.3260581314827e-05,94.983598512086,4,6.63322500451598e-05
"FAAP24",0.43304079932416,0.099438226343885,1.33144379155268e-05,49.9747264173,4,6.65867182332391e-05
"HMGA1P3",0.616470085247863,0.141559965812311,1.33168080822769e-05,54.794257820259,4,6.65867182332391e-05
"BCL2L2",0.109991362511229,0.025262074799772,1.33668730466848e-05,7.1367571892393,4,6.68236158381313e-05
"LYPD5",1.15533710444749,0.265415742728054,1.34327844667522e-05,86.5659327293904,4,6.71396218191479e-05
"ADIPOQ-AS1",-1.50979023879754,0.346848658322104,1.34361319672713e-05,0,2,6.71428572142621e-05
"GLIPR1L2",-1.10087899113654,0.252928332807488,1.34573423495497e-05,66.0845358167292,3,6.72353375253974e-05
"RP11-46C24.7",-0.669860522836841,0.153907427368174,1.34679904806738e-05,73.6153324128621,4,6.72750203480183e-05
"AIMP2",0.510122536264993,0.11720887388149,1.3474635623493e-05,84.0212490921975,4,6.72946956042933e-05
"TUBG1",0.812423834911578,0.186682810944943,1.34966415622803e-05,91.6450343511383,4,6.73910620657954e-05
"AC139100.3",-0.191159329693154,0.0439288879388867,1.35170380743601e-05,0,4,6.74793553015537e-05
"MR1",-0.653817150158225,0.150254538104877,1.35272849628001e-05,90.6268806804461,4,6.75169546136063e-05
"LA16c-360H6.2",-0.631557426336767,0.145145476054858,1.35392645864032e-05,66.7210338678382,4,6.75631854717042e-05
"LINC01679",-0.820315570084449,0.188538625644016,1.35570486267739e-05,76.1728497667568,4,6.76383569729854e-05
"MAP1B",-0.805926799568919,0.185244779678421,1.35762642477223e-05,73.039152558359,4,6.77206392745963e-05
"LMNB2",0.771312559861607,0.177295704440671,1.35870796079112e-05,84.7182256714406,4,6.77609950923225e-05
"RPL26P30",0.635159473405482,0.146020881802478,1.36270936062405e-05,75.8763237738808,4,6.79454088509912e-05
"DNAJA1",0.215247194362514,0.0494850015167861,1.36295222130115e-05,0,4,6.79454088509912e-05
"RP11-680G24.6",-0.339020752199582,0.0779638738065491,1.37113126997522e-05,23.1112961580013,4,6.83394471020319e-05
"HLA-DRB5",0.452463769723552,0.10405480892746,1.37183363708511e-05,0,4,6.83607519434036e-05
"SEMA4B",0.694575964007525,0.159736840673245,1.37227160935325e-05,79.4997169256199,4,6.83688756525304e-05
"PPP1R11",0.29910262470962,0.0687952301939352,1.37557997311101e-05,75.1775508250304,4,6.85141161717455e-05
"COLCA2",-0.821090959342673,0.188856479633897,1.37573788323625e-05,29.8156932713106,2,6.85141161717455e-05
"PTPRF",-0.561818757750752,0.129226381645422,1.37663769272279e-05,84.6760639158995,4,6.85451999744589e-05
"RP11-1246C19.1",-0.613853484375951,0.141212994005083,1.3800954939991e-05,55.6666586750068,4,6.87036127202833e-05
"ZNF48",-0.409321160560826,0.0941853944156823,1.38700017417985e-05,57.6021067890219,4,6.90262073597925e-05
"IRS2",-0.78340660345226,0.180263856615841,1.38713085408543e-05,89.6450906248837,4,6.90262073597925e-05
"PCDH11X",-1.48042517249455,0.340734343127643,1.39397769867492e-05,77.8000125529718,3,6.93530401265515e-05
"SAP30L",-0.340805152896937,0.078448342518031,1.39704095097158e-05,78.3516168678185,4,6.94915388814951e-05
"ITSN1",-0.473260662095545,0.108940497162298,1.39776208355089e-05,78.324225356282,4,6.9513503939153e-05
"LY9",0.842540897971841,0.193957845714133,1.39950891745521e-05,48.721168444419,3,6.95864601908445e-05
"TCEA1P2",-0.131385061801555,0.0302479191892499,1.4016240867826e-05,0,4,6.96776980046703e-05
"AC005082.12",-0.867545453183609,0.19973607913872,1.40256718907172e-05,49.4699969918939,3,6.9710645059879e-05
"FBLN7",-1.07707156422936,0.247984712505966,1.40359384837155e-05,80.0432610105123,4,6.97477310823481e-05
