arm,filename,vid,content_type,mb,cls,code_len,env
B_scissor,fig_stat3.png,78780cb7-0355-48bd-bfc9-0523deb1c1b7,png,0.053,code_recoverable,1045,python
B_scissor,fig_gradient_program.png,965a129d-a536-4b81-a9e7-461d9a00d7a1,png,0.14,code_recoverable,1048,python
B_scissor,fig_scissor_composition.png,f28c9639-8126-4b13-82d7-017f2d29dbc8,png,0.07,code_recoverable,1354,python
B_scissor,fig_scissor_umap.png,67454b2a-d9a6-41f4-b7a3-83b8fb45e255,png,0.439,code_recoverable,916,python
B_scissor,scissor_reliability.R,cee57e42-825f-425e-aee2-8f99b413afce,x-r,0.002,code_recoverable,2401,scissor-r
B_scissor,fig_significance.png,394ebf21-1958-401f-92c3-0f77e140910e,png,0.047,code_recoverable,1205,python
B_scissor,permutation_null.csv,36751199-258e-4ecc-8db5-f7cc96fdecbe,csv,0.001,code_recoverable,2601,scissor-r
B_scissor,permutation_null.rds,2030cff3-14ca-482a-a00c-9d7c116853b7,octet-stream,0.0,code_recoverable,2601,scissor-r
B_scissor,reliability_test.rds,36776557-a136-4970-adf5-243164d1151d,octet-stream,0.001,code_recoverable,2750,scissor-r
K_refs_deconv,Heterogeneous pseudobulk simulation enables realistic benchmarking of cell-type deconvolution methods.pdf,d65ae2ff-655b-4bdc-8f10-c4fef2b77178,pdf,3.273,lineage_error,0,host_call 'get_lineage' failed: No code 
B_scissor,scissor_run.R,d2ecbae6-7588-44a7-a5b7-cfb2c83944f5,x-r,0.004,code_recoverable,3783,scissor-r
B_scissor,scissor_glmnet_solver.R,a14ee6c0-9577-4c2a-a63a-df9eb55653f0,x-r,0.006,code_recoverable,6215,scissor-r
B_scissor,fig_alpha_tuning.png,af19feef-aa5e-4251-a5f8-686003733caa,png,0.043,code_recoverable,723,python
B_scissor,scissor_inputs.rds,a01cf77a-b6d5-4685-8769-fe9af0f893db,octet-stream,18.252,code_recoverable,3061,scissor-r
B_scissor,scissor_alpha_tuning.csv,6b615d8d-945f-412f-add4-9fca76fc5633,csv,0.0,code_recoverable,4113,scissor-r
B_scissor,scissor_tuning.rds,2f894659-849e-4dfa-8961-9068c0dbb96a,octet-stream,1.194,code_recoverable,3847,scissor-r
B_scissor,scissor_result.rds,5951a328-abda-43dd-9fab-3947e289b53f,octet-stream,0.561,code_recoverable,4801,scissor-r
B_scissor,phenotype_checks.csv,2d557942-0001-45c0-9703-24d71085fa78,csv,0.0,code_recoverable,1515,psoriasis-r
B_scissor,bulk_anchor.rds,a7a850eb-ad16-4c77-91bd-178aadea75f0,octet-stream,6.574,code_recoverable,1804,psoriasis-r
B_scissor,fig_ref_umap.png,bb001486-de6c-4552-8d17-d5eca80418c9,png,1.005,code_recoverable,1837,scissor-r
B_scissor,reference_processed.rds,701f5d00-6716-4e99-a423-4e21a3c7b061,octet-stream,1226.747,code_recoverable,1926,scissor-r
B_scissor,sample_manifest.csv,a8220646-c817-4350-bfe9-f46609d614d3,csv,0.002,code_recoverable,743,scissor-r
B_scissor,fig_ref_composition.png,fa7106af-da2b-4f14-9a7a-bf4ab170158a,png,0.065,code_recoverable,1511,scissor-r
B_scissor,reference_raw.rds,77f289a2-f05c-4ecc-a0b8-bf157880b0b0,octet-stream,512.31,code_recoverable,1371,scissor-r
B_scissor,plan_scissor-backbone-tier-1-ordinal-nn-pn-pp_689f69d8.json,08cb3291-6a22-456c-949b-1158636db681,json,0.006,code_recoverable,2270,
A4_study_exclusion,targets_jak_tyk2_abundance.csv,55b1d748-d371-4b77-bf65-761ad77b5284,csv,0.0,code_recoverable,897,psoriasis-r
A4_study_exclusion,targets_gradient_position.csv,910debc9-5d2f-4d98-8059-981a176a46f0,csv,0.002,code_recoverable,783,psoriasis-r
A4_study_exclusion,fig39_druggable_targets_gradient.png,5ef2b532-b1b9-4465-b3e9-2ae35c0548ea,png,0.137,code_recoverable,3505,psoriasis-r
A4_study_exclusion,stat3_vs_module_gradient_position.csv,949ad6e0-2a8a-491a-8e36-2d8f10597739,csv,0.0,code_recoverable,1693,psoriasis-r
A4_study_exclusion,fig38_stat3_vs_module_gradient.png,d23535ce-75c3-4e7b-aa9b-4a6d11044109,png,0.164,code_recoverable,3420,psoriasis-r
A4_study_exclusion,stat3_gradient_isoform_vs_gene.csv,087461f6-2a17-486a-bb9b-4f76963e8035,csv,0.0,code_recoverable,3848,psoriasis-r
A4_study_exclusion,fig37_stat3_gradient_isoform_vs_gene.png,bdff37a3-4787-41af-a860-d163c4861352,png,0.131,code_recoverable,3322,psoriasis-r
A4_study_exclusion,stat3_isoform_pvalue_combination.csv,8db0b0e8-9347-4418-8935-919c6d22fc19,csv,0.0,code_recoverable,1490,psoriasis-r
A4_study_exclusion,stat3_isoform_stouffer_inputs.csv,03c72213-ae46-4460-88b5-b2f7c7776db0,csv,0.0,code_recoverable,851,psoriasis-r
A4_study_exclusion,fig36_isoform_pvalue_combination.png,395b84d2-9286-4516-a733-d0eeb7c35f81,png,0.108,code_recoverable,3456,psoriasis-r
A4_study_exclusion,stat3_isoform_mega_vs_meta.csv,b62ae2c4-acc3-4a41-8d1d-e3300f65ed79,csv,0.0,code_recoverable,6315,psoriasis-r
A4_study_exclusion,fig35_isoform_mega_vs_meta.png,b63969ea-970f-40ba-b28c-76367886940a,png,0.059,code_recoverable,7588,psoriasis-r
A4_study_exclusion,stat3_isoform_pool_5v7.csv,509f324d-ee44-4c76-af12-c4488e1e2cd6,csv,0.0,code_recoverable,6219,psoriasis-r
A4_study_exclusion,stat3_isoform_junction_7study.csv,65d1e364-b7a1-43e0-b923-e8d7bb0e1b1d,csv,0.0,code_recoverable,5394,psoriasis-r
A4_study_exclusion,fig34_stat3_isoform_junction_7study.png,5b68df6d-5380-4b69-bcdd-2c453bf76253,png,0.158,code_recoverable,8625,psoriasis-r
A4_study_exclusion,per_study_de_7study.rds,1a70e129-8c63-482b-91e1-218eb73ef156,octet-stream,12.545,code_recoverable,2212,psoriasis-r
A4_study_exclusion,meta_de_results_7study.rds,7f820456-34c5-4154-92d8-46a45b1c648c,octet-stream,3.174,code_recoverable,3187,psoriasis-r
A4_study_exclusion,meta_7study_summary.csv,33309e6f-477f-4efe-b58f-827b6fa7fcd6,csv,0.0,code_recoverable,3647,psoriasis-r
A4_study_exclusion,key_genes_7study_PPvsNN.csv,5fd6338b-66d8-45e2-bcc4-6f931f2b358d,csv,0.001,code_recoverable,3464,psoriasis-r
A4_study_exclusion,meta_de_PPvsNN_7study.csv,8764baad-e842-4993-9c6c-61cb8121dad0,csv,2.618,code_recoverable,3319,psoriasis-r
A4_study_exclusion,stat3_5v7study_comparison.csv,21da016f-8ba2-47cd-a104-af1a6bd8ceb4,csv,0.0,code_recoverable,3503,psoriasis-r
A4_study_exclusion,fig33_robustness_7study.png,d2b41871-b228-4715-ad77-0cdd4509e39d,png,0.134,code_recoverable,6386,psoriasis-r
A4_study_exclusion,fig32_stat3_forest_7study.png,59d0881b-b88c-4cea-a384-b97e0c6416b2,png,0.071,code_recoverable,5012,psoriasis-r
D_docking_md,01b_ppi_network.pdf,34422a8f-514d-4ba4-b946-117ec372768e,pdf,0.474,code_recoverable,5041,dock-md
D_docking_md,lead_network_centrality.csv,16e2bdf9-882e-4377-a52f-266ac854b552,csv,0.0,code_recoverable,1855,python
D_docking_md,ppi_hub_genes.csv,31c360bf-6cfd-4513-866b-9d9404c080e5,csv,0.064,code_recoverable,2090,python
