gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib,s_effect,s_signif,s_pathway,s_tract,s_chem,s_drugs,s_struct,druggability_score,druggability_rank,disease_axis,on_psoriasis_axis,struct_ready,is_lead
MEFV,ENSG00000103313,"MEFV innate immunity regulator, pyrin",Unclassified protein,2.321,3.06491001575465e-78,up,74,1,True,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL6196061,0,0,0.1363683825832724,0.298488803784197,0.3333333333333333,0.5,0.0,0.0,0.25,0.2278649653190927,61,,False,True,False
S100A7A,ENSG00000184330,S100 calcium binding protein A7A,Unclassified,9.923,9.35816208285372e-24,up,10,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.9301451393964708,0.0836572842160114,0.3333333333333333,0.0,0.0,0.0,0.0,0.227464999197286,62,,False,False,False
PLA2G2F,ENSG00000158786,phospholipase A2 group IIF,Enzyme,2.142,4.41697869760966e-145,up,52,0,False,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL4278,3,8,0.1176777696564686,0.5620416401865435,0.0,0.5,0.1509012602511684,0.0,0.25,0.2242351465906898,63,,False,False,False
TCN1,ENSG00000134827,transcobalamin 1,Unclassified,6.612,0.0070958576839052,up,107,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,,0,0,0.5844210086665971,0.0013289196426509,0.0,0.5,0.0,0.0,0.25,0.2228552519171056,64,,False,True,False
RORA,ENSG00000069667,RAR related orphan receptor A,Transcription factor,-1.015,7.45895635608652e-05,down,2186,0,False,False,Discovery precedence,3,True,True,False,True,True,False,0,CHEMBL5868,5,21,0.0,0.0091293919050524,0.0,0.5,0.1950370495304172,0.0,0.75,0.2169999729722563,65,Th17/IL-17 axis,True,True,False
OAS1,ENSG00000089127,2'-5'-oligoadenylate synthetase 1,Unclassified,2.471,1.0313308097912199e-48,up,126,1,False,True,Discovery precedence,3,True,False,False,False,False,False,0,,0,0,0.15203090738227,0.1820649717979993,0.3333333333333333,0.5,0.0,0.0,0.25,0.2167133599445685,66,,False,True,False
IFIH1,ENSG00000115267,interferon induced with helicase C domain 1,Enzyme,1.522,8.79180830406447e-76,up,98,1,True,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL4739862,0,0,0.0529393338206118,0.2887983359998009,0.3333333333333333,0.5,0.0,0.0,0.25,0.2116848804076862,67,,False,True,False
SPRR2A,ENSG00000241794,small proline rich protein 2A,Unclassified,8.786,7.32372689048778e-20,up,20,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.811423201420069,0.0683051883893224,0.3333333333333333,0.0,0.0,0.0,0.0,0.204252798862331,68,,False,False,False
SERPINB4,ENSG00000206073,serpin family B member 4,Unclassified,8.73,4.21349401198297e-17,up,22,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.8055758588284432,0.0574229605671794,0.3333333333333333,0.0,0.0,0.0,0.0,0.2018944098571813,69,,False,False,False
CHP2,ENSG00000166869,calcineurin like EF-hand protein 2,Unclassified,-2.323,2.93025328028022e-183,down,29,0,False,False,Druggable pocket,2,False,False,False,True,False,False,0,,0,0,0.136577216247259,0.7125770030271658,0.0,0.3333333333333333,0.0,0.0,0.25,0.2009264726210998,70,,False,True,False
CHI3L2,ENSG00000064886,chitinase 3 like 2,Unclassified protein,4.384,3.730363786037929e-256,up,3,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL6066218,2,2,0.3517803069854861,1.0,0.0,0.0,0.119586419404833,0.0,0.0,0.1976708255859674,71,,False,False,False
BEST2,ENSG00000039987,bestrophin 2,Unclassified,-2.969,2.0665643256879495e-82,down,106,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,,0,0,0.204030489714942,0.314935573865597,0.0,0.5,0.0,0.0,0.25,0.1920177570125612,72,,False,True,False
DEFB4B,ENSG00000177257,defensin beta 4B,Unclassified,9.769,1.62302305024037e-58,up,9,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.9140649472694998,0.2207181408363489,0.0,0.0,0.0,0.0,0.0,0.1910178674088718,73,Innate/antimicrobial,True,False,False
ICOS,ENSG00000163600,inducible T cell costimulator,Unclassified protein,2.904,6.898874222329069e-103,up,44,1,False,True,Unknown,0,False,False,False,False,False,True,4,CHEMBL3712953,0,0,0.1972433956353764,0.3956735688543287,0.3333333333333333,0.0,0.0,0.4731974454383394,0.0,0.1897683329294879,74,,False,False,False
PARK2,ENSG00000185345,parkin RBR E3 ubiquitin protein ligase,Unclassified,-1.427,4.27941540054152e-123,down,81,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,,0,0,0.0430197347812467,0.4753506031306142,0.0,0.5,0.0,0.0,0.25,0.1822856246362981,75,,False,True,False
CTA-384D8.34,ENSG00000273272,long independently transcribed non-coding RNA 3232,Unclassified,4.413,3.9796203329959e-143,up,15,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3548083951132923,0.5543342632621788,0.3333333333333333,0.0,0.0,0.0,0.0,0.180385622711854,76,,False,False,False
LCE3A,ENSG00000185962,late cornified envelope 3A,Unclassified,7.678,1.64510927782409e-05,up,36,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.6957293515714733,0.0117178822421043,0.3333333333333333,0.0,0.0,0.0,0.0,0.1766374291519177,77,,False,False,False
CXCL13,ENSG00000156234,C-X-C motif chemokine ligand 13,Unclassified,5.544,4.28716710382635e-76,up,25,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4729038320977341,0.2900281773452686,0.3333333333333333,0.0,0.0,0.0,0.0,0.1699260710590243,78,Chemokine/leukocyte,True,False,False
GSTA3,ENSG00000174156,glutathione S-transferase alpha 3,Enzyme,-2.526,3.2606730910380404e-104,down,84,0,False,False,Druggable pocket,2,False,False,True,False,False,False,0,CHEMBL4866,0,0,0.1577738331419024,0.4008998536916817,0.0,0.3333333333333333,0.0,0.0,0.25,0.1673406057418775,79,,False,True,False
