gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib
IL12RB2,ENSG00000081985,interleukin 12 receptor subunit beta 2,Unclassified,1.272,0.0025063189029527,up,2157,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
IL17A,ENSG00000112115,interleukin 17A,Secreted protein,5.604,7.560101103235948e-125,up,11,1,False,True,Discovery precedence,3,True,True,False,False,False,True,11,CHEMBL3390822,28,53
IL19,ENSG00000142224,interleukin 19,Unclassified,8.112,2.3780319432168e-65,up,17,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
IL23A,ENSG00000110944,interleukin 23 subunit alpha,Unclassified,1.633,0.003323095773921,up,291,2,True,True,Discovery precedence,3,True,False,False,False,False,True,8,,0,0
IL2RA,ENSG00000134460,interleukin 2 receptor subunit alpha,Membrane receptor,2.157,4.83871458860955e-79,up,50,2,True,True,Unknown,0,False,False,False,False,False,True,7,CHEMBL1778,0,0
IL36A,ENSG00000136694,interleukin 36 alpha,Unclassified,10.061,7.206907281450409e-92,up,2,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
IL36G,ENSG00000136688,interleukin 36 gamma,Secreted protein,4.835,1.10948892091732e-20,up,88,1,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL5291561,1,1
IL36RN,ENSG00000136695,interleukin 36 receptor antagonist,Unclassified,2.497,3.03333588377393e-12,up,858,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
IL37,ENSG00000125571,interleukin 37,Unclassified,-3.141,1.56701232349015e-118,down,53,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
IL7R,ENSG00000168685,interleukin 7 receptor,Unclassified,1.984,8.459646904676592e-110,up,51,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
JAK3,ENSG00000105639,Janus kinase 3,Enzyme,1.545,0.0001172658014326,up,738,1,False,True,Approved drug,6,True,True,True,False,True,False,20,CHEMBL2148,6069,8832
KLK13,ENSG00000167759,kallikrein related peptidase 13,Enzyme,3.65,3.243022547683041e-44,up,85,1,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL4863,0,1
KYNU,ENSG00000115919,kynureninase,Enzyme,4.652,4.01468224351229e-48,up,34,2,True,False,Discovery precedence,3,True,True,False,True,True,False,0,CHEMBL5100,5,5
LCE3A,ENSG00000185962,late cornified envelope 3A,Unclassified,7.678,1.64510927782409e-05,up,36,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
LCE3D,ENSG00000163202,late cornified envelope 3D,Unclassified,5.053,1.32840915788915e-12,up,96,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
LCE3E,ENSG00000185966,late cornified envelope 3E,Unclassified,4.853,2.39688819077802e-07,up,123,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
