"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP049599","SRR1644003","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644005","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644008","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644009","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644010","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644011","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644012","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644013","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644014","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644015","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644016","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
