"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"LINC00982",-1.02624758006049,-0.806931763355975,-8.21511176873677,3.92619837236377e-14,1.3832489755435e-13,1.84428875967299e-14,21.3734730835794
"COMP",1.5300395061256,5.9942071709871,8.21474979925924,3.93483341865056e-14,1.38609211679823e-13,1.8480795258698e-14,20.6450858340366
"RP11-255G12.2",-1.27121586350866,-1.93390564283436,-8.21362483063214,3.96179073468641e-14,1.39538775330827e-13,1.86047341752097e-14,21.4971652769649
"MSTN",-1.57144863415114,-1.99266041118428,-8.21082315342546,4.0297249629592e-14,1.41850019936084e-13,1.89128929030811e-14,21.4876307280837
"C10orf67",-1.07597680009295,-1.25291002106297,-8.21043899356602,4.03912954108489e-14,1.42160667791261e-13,1.89543116467527e-14,21.4025792379276
"PLPP4",-1.16142936189921,-0.844687978954792,-8.20048044281175,4.29066326556436e-14,1.50797232522944e-13,2.0105826633458e-14,21.291694672917
"RBFADN",-1.07936399695764,-1.07584042074669,-8.19879107308354,4.33484786642855e-14,1.52328292933753e-13,2.03099632390843e-14,21.3111425794119
"UPK1A",-2.70217524130284,0.419944411674726,-8.18765405947738,4.63763332746695e-14,1.62525889778696e-13,2.16696109647886e-14,21.0736552516586
"PLEKHD1",-1.17624154480294,0.458344079495064,-8.18675964829156,4.66284038786281e-14,1.63385927190713e-13,2.17842799332769e-14,21.0253083291781
"UPK1A-AS1",-2.58992650560204,-1.49814276447467,-8.17729541262374,4.93803476519471e-14,1.72880554839703e-13,2.30502006286768e-14,21.2478053559724
"RP11-632L2.2",-1.40491788192485,-2.27702437476112,-8.16865382689918,5.20333963442855e-14,1.81883304194475e-13,2.42505390879651e-14,21.2619744598208
"PARP15",1.11063695379968,0.344376992267775,8.14622030936966,5.95984991260751e-14,2.07676088445002e-13,2.76894964206627e-14,20.8154180311904
"TPPP3",-1.09173190275441,6.41085848072608,-8.14549708326721,5.98597251685592e-14,2.08556724280458e-13,2.78069117812674e-14,20.2176979182467
"APOBEC2",-1.36720784279203,-2.40541889982487,-8.13879032051032,6.23368805044321e-14,2.16971619840033e-13,2.8928871570773e-14,21.0956007008721
"RP11-14N7.2",-1.04241277419173,-0.612976278574972,-8.13222988848935,6.48582247985259e-14,2.25491500759496e-13,3.00648290803273e-14,20.8522893665769
"ZBED9",-1.30388599675358,-2.21230247979558,-8.12925020785607,6.60365228380432e-14,2.29457973108305e-13,3.05936796703368e-14,21.0219393791323
"MISP",-1.25024018053288,-1.03017001023913,-8.12871285582623,6.62512624401744e-14,2.30138927224557e-13,3.06844714254482e-14,20.88839464992
"PCOLCE2",-1.2239795096911,3.70525906443177,-8.11422301916955,7.23100622564312e-14,2.50617663844248e-13,3.34149056732061e-14,20.1826042771504
"LHX2",-1.44002412813669,1.1440673075081,-8.11293253035296,7.28755834647214e-14,2.52506330162832e-13,3.36667219495036e-14,20.4895830879021
"C8orf74",1.03154142810964,-0.644477023362457,8.11122535587205,7.36304454138833e-14,2.55049790299637e-13,3.40058420228905e-14,20.7474217385505
"RP11-76C10.5",-1.10859446733234,-2.16127062176743,-8.0999791736539,7.88005266023655e-14,2.72688955488547e-13,3.63576756163431e-14,20.8432862346693
"CTXN1",-1.16740848546667,0.597449507988252,-8.09777824260855,7.9853648901974e-14,2.76294301067516e-13,3.68383770984039e-14,20.4732751271273
"SLC4A4",-1.1722109342219,-0.900718098060525,-8.09632853980316,8.05549232581626e-14,2.78524268068257e-13,3.71356990662219e-14,20.6785198080062
"LINC01589",-1.20891500223985,-2.22263203198838,-8.09552891067237,8.09443411803018e-14,2.79752402489847e-13,3.72994464861841e-14,20.8228358383164
"RP11-428K3.1",1.04015784049541,-0.0971880574461429,8.08976605719663,8.38065528546894e-14,2.89481358740997e-13,3.85966102632473e-14,20.5418801320787
"ZNF727",-1.37440468449097,-1.75289277315501,-8.08357225570851,8.69946862507651e-14,3.00239997799179e-13,4.00310618648895e-14,20.7061787768177
"LINC01088",-1.04922028759068,-1.89757238651343,-8.07637322025811,9.08515177410412e-14,3.13062501754546e-13,4.17406890060522e-14,20.6775553859425
"CACNG8",-1.20878959077838,-1.62700987315154,-8.05830496094195,1.01293847117878e-13,3.48120426244545e-13,4.64149694297166e-14,20.5421362249842
"PER1",-1.17067068753484,5.95757052503153,-8.05811714350945,1.01408413159585e-13,3.48465334544454e-13,4.64609561256685e-14,19.7035865101969
"RP3-333H23.9",-1.34346526957444,-2.52334855017798,-8.05697318723238,1.02108988428431e-13,3.50771432951506e-13,4.67684287098542e-14,20.6213938270398
"RP11-1149O23.2",1.04340820283385,-0.544580472558397,8.04579915878282,1.09209368048564e-13,3.74589201439684e-13,4.99440567768101e-14,20.3454065672168
"RPL22P13",1.04281060712806,-0.389022845775695,8.04293471703834,1.11106972596018e-13,3.80884950920352e-13,5.07834703752442e-14,20.3065236505054
"KLF14",-1.32012933451172,-2.04175014943296,-8.03633162728197,1.15606675083138e-13,3.96033593078103e-13,5.28032420107065e-14,20.456288727123
"RP11-85O21.5",-1.61031315923336,-2.62732462715448,-8.02820748908116,1.21391287877918e-13,4.15559736087867e-13,5.54066667527002e-14,20.4611258478003
"KCNJ1",-1.5285179141356,-2.2687795873437,-8.0171331425087,1.29740918232254e-13,4.43215214819042e-13,5.90939775310972e-14,20.3654460446723
"TMC4",-1.01652979965371,2.09352920373769,-8.0070627101414,1.37826279806125e-13,4.70181222682147e-13,6.2689361014077e-14,19.72897346245
"NHLH1",-1.25913708215748,-1.90853837064471,-8.00352330239322,1.40784961892447e-13,4.80074175628797e-13,6.40083905049401e-14,20.2490829963584
"CSPG4P13",-1.00269778210845,-0.691239082106671,-8.0021901169811,1.41915645502783e-13,4.83728036811044e-13,6.44955605825593e-14,20.0914068191792
"PCP2",-1.37494486171548,-1.98135770637613,-8.00053699563073,1.43330169172666e-13,4.88278109648216e-13,6.51022227480595e-14,20.2394215371525
"AWAT2",-5.04992053826616,1.41932664712149,-7.99933208296241,1.44369966508448e-13,4.91683773746072e-13,6.55563006563717e-14,19.9122277788801
"DNAJC22",-1.07708698432215,-1.37797406960722,-7.99267757498442,1.50248616100635e-13,5.10995293360564e-13,6.81311096160687e-14,20.1251245093722
