statistic,source,condition,score,p_value,padj,rank,axis
ulm,RFXANK,PPvsNN,1.35953908029406,0.173988326311925,0.40725173657898,198,FALSE
ulm,KLF4,PPvsNN,1.35876074444936,0.174234911978655,0.40725173657898,199,FALSE
ulm,ATF5,PPvsNN,1.35730938216582,0.174695417057104,0.40725173657898,200,FALSE
ulm,PARK7,PPvsNN,1.35518537194081,0.175370984722373,0.407528764497705,201,FALSE
ulm,PPARG,PPvsNN,1.33366856375902,0.182324886812784,0.418430609446332,202,FALSE
ulm,AIRE,PPvsNN,1.33185418538346,0.182920485003861,0.418430609446332,203,FALSE
ulm,HNF1B,PPvsNN,1.32932648920871,0.1837526433627,0.419024719443914,204,FALSE
ulm,THAP11,PPvsNN,1.28612602297418,0.198411224787349,0.442795782147377,205,FALSE
ulm,ZGPAT,PPvsNN,1.27985759562999,0.200607329229757,0.444983530291462,206,FALSE
ulm,HINFP,PPvsNN,1.27491818771334,0.202350278266006,0.447493666739324,207,FALSE
ulm,GRHL2,PPvsNN,1.25307592382121,0.210190023273902,0.457488667015799,208,FALSE
ulm,YY1,PPvsNN,1.25189577726882,0.210619782492246,0.457488667015799,209,FALSE
ulm,DNMT1,PPvsNN,1.24942977043336,0.211519848782682,0.458084406239417,210,FALSE
ulm,TP63,PPvsNN,1.24705516622908,0.212389178946861,0.458610262504726,211,FALSE
ulm,MNT,PPvsNN,1.23881574370974,0.215425597808514,0.462165430337481,212,FALSE
ulm,APEX1,PPvsNN,1.23298196737488,0.217594309686206,0.462165430337481,213,FALSE
ulm,HOPX,PPvsNN,1.20771004538453,0.227170458519469,0.473905477433892,214,FALSE
ulm,CREBZF,PPvsNN,1.20502936837254,0.228203591541836,0.473905477433892,215,FALSE
ulm,NFATC3,PPvsNN,1.20416770958875,0.228536384609513,0.473905477433892,216,FALSE
ulm,HOXD10,PPvsNN,1.19688277241106,0.231363818677149,0.478413319976478,217,FALSE
ulm,NR1H3,PPvsNN,1.19410160889146,0.232449772673933,0.479304883372729,218,FALSE
ulm,HIVEP3,PPvsNN,1.19196510977027,0.233286459395875,0.479435278784688,219,FALSE
ulm,DOT1L,PPvsNN,1.19059804331336,0.233822943341713,0.479435278784688,220,FALSE
ulm,ESRRG,PPvsNN,1.17785595967069,0.23886546369192,0.484347699231262,221,FALSE
ulm,TAL1,PPvsNN,1.17532277724053,0.239877014886018,0.485055179272279,222,FALSE
ulm,NR2F6,PPvsNN,1.17128065622293,0.241497363083143,0.485648543343024,223,FALSE
ulm,NCOA3,PPvsNN,1.15761731198693,0.247031514527596,0.493533672838425,224,FALSE
ulm,CXXC1,PPvsNN,1.15561405656593,0.247850313342531,0.493533672838425,225,FALSE
ulm,ZBTB33,PPvsNN,1.14758036422044,0.251153033425107,0.494204356094565,226,FALSE
ulm,TP53,PPvsNN,1.1332303952921,0.257128590468883,0.501621149087838,227,FALSE
ulm,NKX3-1,PPvsNN,1.13195761218404,0.257663322482277,0.501621149087838,228,FALSE
ulm,SMARCA4,PPvsNN,1.1153565150011,0.26470860446542,0.511257779600758,229,FALSE
ulm,AIP,PPvsNN,1.11229312571675,0.266023040880679,0.511749642906955,230,FALSE
ulm,ATF6,PPvsNN,1.08640848887986,0.277308984800393,0.528714193647371,231,FALSE
ulm,NCOR1,PPvsNN,1.06890629619995,0.28512241464316,0.534525489828876,232,FALSE
ulm,NKX3-2,PPvsNN,1.06770945238701,0.285662102446646,0.534525489828876,233,FALSE
ulm,JDP2,PPvsNN,1.06593585104187,0.286463134213375,0.534525489828876,234,FALSE
ulm,BHLHE41,PPvsNN,1.06318380039077,0.287709075126472,0.534525489828876,235,FALSE
ulm,HTATIP2,PPvsNN,1.05607137269569,0.290946010455779,0.538482518203974,236,FALSE
ulm,LITAF,PPvsNN,1.04837695431382,0.29447529784575,0.54159778397761,237,FALSE
ulm,ABL1,PPvsNN,1.04249289252136,0.297193494588147,0.544040240251227,238,FALSE
ulm,NFE2L1,PPvsNN,1.01407344872905,0.310557709945212,0.562693672474989,239,FALSE
ulm,CEBPZ,PPvsNN,1.00276417469357,0.315984550988775,0.569706136265476,240,FALSE
ulm,TLX1,PPvsNN,0.991632527185202,0.32138659896045,0.574288776896447,241,FALSE
ulm,PEG3,PPvsNN,0.98480831771893,0.324727948986819,0.577660006653781,242,FALSE
ulm,SOX3,PPvsNN,0.972086815157086,0.331016947563298,0.580042032528887,243,FALSE
ulm,KMT2B,PPvsNN,0.96985387427821,0.332128898500589,0.580042032528887,244,FALSE
ulm,HOXB13,PPvsNN,0.96848651183459,0.332811002270673,0.580042032528887,245,FALSE
ulm,NFYC,PPvsNN,0.963205840616673,0.335453731085168,0.582676495314112,246,FALSE
ulm,HOXD8,PPvsNN,0.962138150591495,0.33598969796373,0.582676495314112,247,FALSE
