"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"TEX261",0.0261300485193785,6.05964949403874,0.941016469523666,0.347950494958782,0.389882582930516,0.0519831265379029,-7.73171579571573
"RP11-409C19.2",0.0830079257210151,0.0269541231900173,0.940632994437553,0.3481465050647,0.390084394327667,0.0520100340938035,-7.03432000103195
"STXBP3",-0.054807129655516,4.94700754238137,-0.940516411705917,0.348206109386198,0.390133356980845,0.0520165622946189,-7.68810932982266
"ARHGAP18",-0.0568377059671764,4.10677063637974,-0.940292965716583,0.348320367110986,0.390243546544478,0.0520312538922441,-7.61729295697618
"DDX19B",0.0357015589007132,5.07588408982696,0.939852674586774,0.348545577564692,0.390478027153867,0.0520625172410629,-7.69648561922485
"RP11-157F20.1",-0.143036124500467,-1.63081738265569,-0.939393132399409,0.348780734481284,0.390723628927012,0.0520952633769774,-6.72389533663221
"ARL4D",0.0752049458807609,4.17933624477094,0.939141677079203,0.348909452200146,0.390849974587375,0.0521121090703675,-7.62491311002225
"RP4-595K12.2",0.129092360586732,-1.62963745692291,0.938671292416854,0.3491503195594,0.391101933513859,0.0521457028068696,-6.72218294451212
"RP11-33O4.1",-0.103862378179758,-1.27277300521883,-0.936671188115171,0.350175690772182,0.392232593993062,0.0522964540056538,-6.79129016002238
"SLCO2B1",0.0742562532433986,5.06851982840334,0.936393907291236,0.350317993116159,0.392374068914249,0.052315316886562,-7.69920690045301
"PTMAP2",0.05978409321062,6.93284266811589,0.936189310337408,0.350423017328315,0.392473779407713,0.0523286113075642,-7.74298437261971
"PRDX3",-0.0375279770933589,5.48060051093071,-0.935920437118635,0.350561066603624,0.392610467177466,0.0523468359165679,-7.72000470207497
"RP11-849F2.10",-0.192005645262127,-2.06966265563005,-0.935732317106859,0.350657674922184,0.392700732832222,0.0523588710552446,-6.64999538764367
"WDR6",-0.0627348705407103,5.94152605945634,-0.935591865868053,0.350729814219841,0.392763588694894,0.0523672516405951,-7.73439682480914
"NUDT9",0.0321587691339867,3.99573214767457,0.935538215448928,0.350757372931863,0.392776517680457,0.0523689754649513,-7.60989694676342
"SLC9A7",0.0516884466888114,3.56068855947326,0.935282705984375,0.350888639954456,0.392905572280434,0.0523861823418281,-7.56184135753263
"POU2F1",-0.0583618437426572,4.96759134405212,-0.935163323920779,0.350949982800006,0.392956321469851,0.0523929487418948,-7.69446436595917
"AK5",0.0891310420473851,1.23382554642486,0.935101156261459,0.350981929517796,0.39297118902692,0.0523949310363964,-7.24745642569238
"RP11-274B21.10",-0.203335942608028,-2.51576886628938,-0.935075131446544,0.350995303701963,0.39297118902692,0.0523949310363964,-6.57397049434316
"FAM220A",0.0320918431580973,3.88177709188975,0.934475799927341,0.351303391014241,0.393298168551614,0.0524385272849894,-7.59877570716962
"AC079776.6",-0.0936971958945539,-1.42352675440049,-0.933751696350759,0.351675847992737,0.393697179350335,0.0524917274784528,-6.76634870229253
"CTD-2010I16.2",-0.0692731761325626,2.12887356240403,-0.933564637506948,0.35177210637867,0.393786966603807,0.0525036988317859,-7.38145545261097
"IGHV3-74",-0.361899017436372,-1.79046187911469,-0.933158611103162,0.351981100906238,0.394002940992525,0.0525324947423221,-6.70278555876685
"A2ML1-AS1",0.154180766891926,-2.13295496328692,0.93288332874358,0.352122842456571,0.394137266471844,0.0525504043866469,-6.63815623473358
"RP11-599B13.8",-0.131974970235866,-2.3605516344742,-0.932863142228711,0.352133237828767,0.394137266471844,0.0525504043866469,-6.60184700198964
"AC012671.2",-0.106580977491928,-0.437723295051355,-0.932805233893054,0.352163059749475,0.394152659344519,0.0525524567215884,-6.95318228090489
"RP11-96K19.4",0.159957193517728,-2.38018046035579,0.932539353700695,0.352300004737005,0.394287941056272,0.0525704938605841,-6.59595321024868
"FTH1P11",-0.0513933041612314,5.71068632210703,-0.932490739333123,0.352325047862564,0.394297977550439,0.052571832028456,-7.73127224415585
"BCLAF1",0.0634637159056559,6.43475900360655,0.932341684194943,0.352401838963735,0.394365923264098,0.0525808912447059,-7.74505648230326
"MMP19",0.0508279133607386,3.89402601039268,0.931302955030058,0.352937274087137,0.394947098809677,0.0526583795020665,-7.60292322025324
"IGHM",0.219819711125987,0.689891011774798,0.93081956196301,0.353186626192059,0.395208100695202,0.052693178938194,-7.16124773683422
"PGGT1BP2",0.115365604887784,-1.46123979444443,0.930249449379366,0.3534808557771,0.395519293394494,0.0527346703260457,-6.76062706411227
"RPL7P48",-0.155084855022049,-1.7229980423549,-0.930096625972712,0.353559753005621,0.395589527493927,0.0527440346532507,-6.7162207463898
"MRI1",-0.0508182880414742,4.24321304636611,-0.929977144529441,0.353621444795307,0.395640505311284,0.0527508315363286,-7.6403151444988
"LINC00302",-0.0900164866031057,3.79545567920767,-0.929890057250435,0.353666414845995,0.395672770632301,0.0527551334783455,-7.59421884008705
"ABHD8",0.0811736285439851,3.33693463143249,0.929706145699602,0.353761394902225,0.395760980349454,0.0527668944984306,-7.54031396142532
"GOLGA6L9",-0.0854638028678516,1.82937400833919,-0.929349004827738,0.353945884666445,0.395949314015259,0.0527920050655846,-7.3432331284451
"AKR7A2P1",0.100945786427875,-1.30732935157717,0.928848871787059,0.354204343507971,0.396220373857049,0.05282814553113,-6.790049539687
"HNRNPA1P67",0.108510065036239,-0.69182958031276,0.928761286064761,0.354249618439975,0.396252947879227,0.0528324886323376,-6.90556951103326
"SOSTDC1",-0.0947700655142643,4.1891788840887,-0.928593566523649,0.354336326542724,0.396317356287672,0.0528410762189415,-7.63654209142439
"PIGL",-0.0814427163152464,2.91214510169461,-0.928536181557356,0.354365996681329,0.396317356287672,0.0528410762189415,-7.4899104115
"ATP5G2P1",0.0967347269709571,0.0623904380563941,0.928528152215067,0.354370148272848,0.396317356287672,0.0528410762189415,-7.05228591897049
