gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
NUP43,4,0.099,0.053,1.87,0.061086746819576,0.108565080721605,0,0,0.89,up
AC007881.4,3,-0.376,0.201,-1.87,0.0611289589077317,0.108627179486941,10.5,0.0222,2.23,down
PHEX,4,-0.521,0.278,-1.87,0.061130088054146,0.108627179486941,71.8,0.2129,10.62,down
RP11-592H6.3,2,0.797,0.426,1.87,0.061134881135297,0.108628233421498,72.8,0.2642,3.68,up
H3F3AP4,4,-0.173,0.092,-1.87,0.0611484996916611,0.108644967783549,72.3,0.0176,10.82,down
RP11-106M3.3,4,0.192,0.102,1.87,0.0611883139321964,0.108708239561913,72.2,0.0237,10.77,up
RP11-762I7.5,4,-0.138,0.074,-1.87,0.0612889412208902,0.108872798157512,33.7,0.0078,4.53,down
SAC3D1,4,-0.183,0.098,-1.87,0.0612893574533473,0.108872798157512,45.4,0.0151,5.5,down
LA16c-313D11.12,4,-0.249,0.133,-1.87,0.06130222076546,0.108880961790124,63.2,0.0406,8.16,down
POLR2J4,4,0.089,0.048,1.87,0.0613023726255714,0.108880961790124,0,0,1.08,up
KLC1,4,0.063,0.034,1.87,0.0613570289138414,0.1089705552309,27.5,0.0012,4.14,up
VMO1,2,-0.944,0.505,-1.87,0.0613741325577542,0.108993447162439,89.1,0.454,9.17,down
LRRC58,4,-0.089,0.048,-1.87,0.0613907132340003,0.1090154072835,46.8,0.0036,5.64,down
L3MBTL3,4,0.121,0.065,1.87,0.0614138530234337,0.109049011025545,0,0,0.44,up
CRACR2A,4,0.647,0.346,1.87,0.061444054792986,0.109095148840928,84.8,0.3719,19.68,up
EIF4E2,4,-0.1,0.054,-1.87,0.0614809761068529,0.109143778786896,64.3,0.0058,8.4,down
C5orf34,4,0.191,0.102,1.87,0.0614840363768612,0.109143778786896,6.4,0.0042,3.2,up
RP11-69E11.4,4,0.319,0.171,1.87,0.0614841036546967,0.109143778786896,32.1,0.0374,4.42,up
NFE2,3,0.759,0.406,1.87,0.0615913059770519,0.109326575924128,84.7,0.3985,13.09,up
RP1-30M3.5,4,-0.173,0.093,-1.87,0.0617152524253082,0.109539067302235,52.4,0.0159,6.3,down
RP11-503P10.1,4,0.311,0.166,1.87,0.0617235004720896,0.109546189268519,60.3,0.0621,7.55,up
FKRP,4,-0.186,0.1,-1.87,0.0618306180770072,0.109728770820894,32.6,0.0127,4.45,down
RP11-848D3.4,2,-0.534,0.286,-1.87,0.0618385353993436,0.109735291908653,0,0,0.24,down
RP11-108P20.3,4,-0.272,0.146,-1.87,0.0618613687605066,0.109768279474598,0,0,0.09,down
BMS1P7,4,0.408,0.219,1.87,0.0618998671505989,0.109829057006455,50,0.0915,6.01,up
CBX1P2,3,0.362,0.194,1.87,0.0619895893606335,0.109980706490837,0,0,0.38,up
KCMF1,4,-0.143,0.077,-1.87,0.0620270048559537,0.110039539995499,79.4,0.0143,14.59,down
COL1A1,4,0.166,0.089,1.87,0.0620338309230849,0.110044101714312,0,0,0.5,up
CTD-2514C3.1,3,-0.5,0.268,-1.87,0.062045197497218,0.11005671682793,44.1,0.0995,3.58,down
APCDD1,4,0.479,0.257,1.87,0.0620628145001841,0.110073848035114,92.1,0.1858,38.13,up
DLG1-AS1,4,-0.759,0.407,-1.87,0.062063367069907,0.110073848035114,76.8,0.4581,12.95,down
PAWR,4,-0.187,0.1,-1.87,0.062110290764629,0.110149517302274,78.6,0.0227,13.99,down
STEAP2,4,0.517,0.277,1.86,0.0622376613752848,0.110365853337692,89.1,0.2641,27.48,up
COL4A2-AS1,3,-0.219,0.117,-1.86,0.0622408110417405,0.110365853337692,0,0,1.86,down
TRIL,3,-0.782,0.419,-1.86,0.0622731104352045,0.110415556886003,90.9,0.4611,21.91,down
RP11-130L8.3,4,-0.401,0.215,-1.86,0.0622843064164594,0.110427838028195,77.5,0.1309,13.33,down
IVD,4,0.293,0.157,1.86,0.0622962129667261,0.11044137721375,63.4,0.05,8.19,up
ECM2,4,0.779,0.418,1.86,0.0623295241394034,0.110492858967891,92.1,0.5034,38.1,up
KANTR,4,0.455,0.244,1.86,0.0623343587977378,0.110493523003463,86.5,0.1967,22.27,up
RSU1,4,-0.15,0.08,-1.86,0.0623384429193677,0.110493523003463,72.5,0.0143,10.89,down
HMGA1P6,2,-0.613,0.329,-1.86,0.0623634197999424,0.110530219263051,0,0,0.02,down
HIST1H2BK,4,-0.437,0.235,-1.86,0.062474691519648,0.110719845242166,79.2,0.1584,14.44,down
NOX1,4,0.492,0.264,1.86,0.0624833046063642,0.110727522462419,35.8,0.0997,4.67,up
THY1,4,-0.467,0.251,-1.86,0.0625505873913407,0.110839160885834,65.2,0.1384,8.61,down
RP11-557N21.1,3,0.571,0.306,1.86,0.0625634895896454,0.110854428632362,52.8,0.1483,4.24,up
LINC00900,4,0.371,0.199,1.86,0.0625733036276745,0.110861462522635,70.6,0.0873,10.21,up
PYGO1,4,-0.295,0.158,-1.86,0.062576031989172,0.110861462522635,49,0.0464,5.88,down
ZNF619,4,0.285,0.153,1.86,0.0626678108307207,0.111016456118203,76.2,0.0647,12.6,up
PEX5L,2,1.376,0.74,1.86,0.062700493395179,0.111066746193611,78.8,0.8682,4.72,up
WAS,3,-0.592,0.318,-1.86,0.0627101841216619,0.111076304761174,80.8,0.216,10.42,down
TMEM37,4,-0.561,0.301,-1.86,0.062718821518192,0.11108399642173,86.5,0.2283,22.24,down
MYH10,4,0.195,0.105,1.86,0.0627366760052389,0.111107766246783,66.7,0.0233,9,up
RP11-39H3.1,2,0.481,0.258,1.86,0.0627408338243995,0.111107766246783,0,0,0.09,up
NPIPB5,4,0.275,0.148,1.86,0.0627668291030869,0.111146191148996,54.6,0.0449,6.6,up
WNT10A,4,-0.522,0.28,-1.86,0.0627991822644039,0.111195868425176,85.7,0.1933,20.93,down
ST13P12,3,0.432,0.232,1.86,0.0628885909288039,0.111346557761678,0,0,1.45,up
NCOR2,4,0.294,0.158,1.86,0.0629797321063225,0.111500293736596,84.5,0.0722,19.34,up
FILIP1L,4,0.426,0.229,1.86,0.062994108876635,0.11151811307223,88.9,0.1612,27.08,up
AMDHD1,4,-0.485,0.261,-1.86,0.0630578487978735,0.11161961809203,62.2,0.1645,7.93,down
LILRA2,2,0.346,0.186,1.86,0.0630638330092756,0.11161961809203,0,0,0,up
NADK,4,-0.065,0.035,-1.86,0.0630643937201837,0.11161961809203,0,0,1.62,down
CEP295,4,-0.233,0.125,-1.86,0.0630849561849041,0.111648371887667,66.6,0.0341,8.97,down
COX11P1,2,0.266,0.143,1.86,0.0630898691445115,0.111649426996486,0,0,0.43,up
RP11-16E12.1,2,0.878,0.473,1.86,0.0631236311126877,0.111701532231702,67,0.2999,3.03,up
TUBA1B,4,-0.209,0.113,-1.86,0.0631388097706231,0.111718852024729,72.7,0.0274,11.01,down
AHCYP4,2,-0.516,0.278,-1.86,0.0631420576437321,0.111718852024729,0,0,0.65,down
LINC01252,2,0.653,0.352,1.86,0.0631746770652705,0.111768920419739,0,0,0.25,up
PTENP1,4,-0.116,0.062,-1.86,0.0632662411261823,0.111923259951271,50,0.0065,6,down
GRB10,4,-0.206,0.111,-1.86,0.0633089510608038,0.111991157255771,54.6,0.0244,6.61,down
EPHX4,3,1.313,0.707,1.86,0.0633147630904325,0.111993778728693,76.8,1.0814,8.63,up
MKRN3,2,0.683,0.368,1.86,0.0633264663922423,0.112006819857003,0,0,0.41,up
RP11-157J24.2,2,1.751,0.943,1.86,0.0633750124888777,0.112085019352594,66.3,1.2597,2.97,up
CYP8B1,3,-1.351,0.728,-1.86,0.0633972301137934,0.112116646814575,82.4,1.2747,11.39,down
AC092171.4,4,-0.119,0.064,-1.86,0.0634109010753709,0.112133156393641,0,0,0.24,down
PLXNA3,4,0.432,0.233,1.86,0.0634274237356348,0.112154706193919,85.1,0.1688,20.14,up
PPIL4,4,0.173,0.093,1.86,0.0634577631591218,0.112200682687143,76.8,0.0206,12.95,up
IQCA1,4,-0.738,0.398,-1.86,0.0634746934515937,0.112222945617063,61.7,0.3581,7.83,down
ARHGDIB,4,-0.446,0.24,-1.86,0.0635313472528215,0.112315431671017,93.8,0.1865,48.76,down
CH507-42P11.6,3,1.067,0.575,1.86,0.0635830786455536,0.112399203478135,90.7,0.8927,21.39,up
GPR19,3,-0.389,0.21,-1.85,0.0635979126665468,0.112417742838133,0,0,0.85,down
SFXN2,4,-0.326,0.176,-1.85,0.0636420573639303,0.112488086630267,65,0.0729,8.57,down
SYCP2,4,0.221,0.119,1.85,0.0636644434376277,0.11251996481282,8.2,0.0054,3.27,up
LINC01415,4,0.272,0.147,1.85,0.0636780518722661,0.112536326178633,0,0,0.67,up
AKR7L,4,0.372,0.201,1.85,0.0637192457428581,0.112601432897874,38.8,0.0612,4.9,up
SPRED3,4,0.359,0.194,1.85,0.0637419549468487,0.112633867783377,41.7,0.0616,5.15,up
ZNF331,4,0.316,0.17,1.85,0.0637525574553657,0.112644906819619,81.7,0.0831,16.39,up
CTD-3014M21.1,3,-0.432,0.233,-1.85,0.0638051706498539,0.112730152840468,32.4,0.0563,2.96,down
PAQR7,4,-0.201,0.109,-1.85,0.0638095204757368,0.112730152840468,54.5,0.0218,6.59,down
CTB-50L17.7,2,0.328,0.177,1.85,0.0638162034679279,0.112734259032476,0,0,0.28,up
