pathway,collection,gsea_nes,gsea_padj,gsea_size,ora_padj,ora_fold,ora_k,ora_setsize,gsea_sig,ora_sig
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING,GO:BP,1.59060162106607,0.0564517705413993,33,0.868087644964407,1.1410373066424,6,33,FALSE,FALSE
GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT,GO:BP,2.02836723989214,0.000499209090526714,51,0.868087644964407,1.1074773858588,9,51,TRUE,FALSE
GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING,GO:BP,1.48681729188804,0.116215503851931,19,1,0.660600545950864,2,19,FALSE,FALSE
GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT,GO:BP,2.31530519080482,1.22653996608399e-06,66,0.188057689508049,1.6164695177434,17,66,TRUE,FALSE
GOBP_MITOTIC_NUCLEAR_DIVISION,GO:BP,2.54781655392116,1.5655903082644e-19,279,0.00267510581791136,1.57454968837751,70,279,TRUE,TRUE
GOBP_MITOTIC_NUCLEAR_MEMBRANE_ORGANIZATION,GO:BP,1.44383924033324,0.149867745766081,10,1,0.627570518653321,1,10,FALSE,FALSE
GOBP_MITOTIC_RECOMBINATION,GO:BP,1.49060461540921,0.112207905414826,26,0.99198586966751,0.965493105620494,4,26,FALSE,FALSE
GOBP_MITOTIC_SISTER_CHROMATID_COHESION,GO:BP,1.76624992303375,0.0216530274914362,31,0.8068601672033,1.21465261674836,6,31,TRUE,FALSE
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,GO:BP,2.85321948196071,7.19963237434291e-24,197,0.00290082121530356,1.68838768977797,53,197,TRUE,TRUE
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION,GO:BP,2.7226189450874,2.31531258676627e-12,70,0.00247639472143327,2.24132328090472,25,70,TRUE,TRUE
GOBP_MITOTIC_SPINDLE_ASSEMBLY,GO:BP,2.30787779657811,3.41108671189632e-07,75,0.257342377811975,1.50616924476797,18,75,TRUE,FALSE
GOBP_MITOTIC_SPINDLE_ELONGATION,GO:BP,2.21480129890063,7.72715761665851e-05,12,0.0231134546169715,3.66082802547771,7,12,TRUE,TRUE
GOBP_MITOTIC_SPINDLE_ORGANIZATION,GO:BP,2.4717399488866,7.23320162200626e-12,132,0.180728032559177,1.426296633303,30,132,TRUE,FALSE
GOBP_MITRAL_VALVE_DEVELOPMENT,GO:BP,-1.32728057202666,0.250994887738103,13,,,,,FALSE,FALSE
GOBP_MODIFICATION_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON,GO:BP,-1.15099235843064,0.403311875034288,17,1,0.369159128619601,1,17,FALSE,FALSE
GOBP_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE,GO:BP,-1.50847333485655,0.078915006805918,29,1,0.649210881365505,3,29,FALSE,FALSE
GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE,GO:BP,-1.40118568183337,0.123589288590149,36,1,0.522975432211101,3,36,FALSE,FALSE
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,GO:BP,1.41086955278058,0.144591697781886,46,0.588991216311528,1.36428373620287,10,46,FALSE,FALSE
GOBP_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS,GO:BP,-0.963825811940019,0.615640808012222,30,0.0641331716346204,2.30109190172884,11,30,FALSE,FALSE
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,GO:BP,1.66314094711892,0.00313709081218971,179,0.00107049492788727,1.7880500810793,51,179,TRUE,TRUE
GOBP_MODIFIED_AMINO_ACID_TRANSPORT,GO:BP,1.11710203227303,0.425089981665249,35,0.579919469899798,1.43444689977902,8,35,FALSE,FALSE
GOBP_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST,GO:BP,1.92780190190068,0.0068984036863047,24,0.77384671492533,1.30743858052775,5,24,TRUE,FALSE
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,GO:BP,-1.78157315745237,0.00670029281223587,48,0.333939623817606,1.5689262966333,12,48,FALSE,FALSE
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM,GO:BP,1.84981863670351,0.000926583851688354,106,0.762207358717267,1.12489055230312,19,106,TRUE,FALSE
GOBP_MOLTING_CYCLE,GO:BP,1.18305354099145,0.288848404520046,120,1.1615452543916e-05,2.24879435850773,43,120,FALSE,TRUE
GOBP_MOLTING_CYCLE_PROCESS,GO:BP,1.13798785702322,0.348971049877921,99,0.027973375332501,1.77494692144374,28,99,FALSE,TRUE
GOBP_MONOACYLGLYCEROL_METABOLIC_PROCESS,GO:BP,-1.68281690627894,0.0643917006246891,13,0.250411825363178,2.41373276405124,5,13,FALSE,FALSE
GOBP_MONOAMINE_TRANSPORT,GO:BP,-1.40994594703631,0.0944147303912175,50,0.544976826914864,1.38065514103731,11,50,FALSE,FALSE
GOBP_MONOATOMIC_ANION_HOMEOSTASIS,GO:BP,-0.671977875136295,0.948605072189949,17,0.937040972683617,1.1074773858588,3,17,FALSE,FALSE
GOBP_MONOATOMIC_ANION_TRANSPORT,GO:BP,0.991186169874757,0.574832240914338,134,0.0334883605303751,1.63917672782584,35,134,FALSE,TRUE
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,GO:BP,-1.28929592184843,0.072962770378206,203,0.0626293965258465,1.45299578210375,47,203,FALSE,FALSE
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,GO:BP,-1.16354600460987,0.267080829961445,113,1,0.72198378252152,13,113,FALSE,FALSE
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT,GO:BP,1.2870484725666,0.172585328257158,135,0.216718817007343,1.39460115256294,30,135,FALSE,FALSE
