gene,cls,trend_slope,trend_FDR,spearman_rho,mu_NN,mu_PN,mu_PP,pn_frac
ENPP7P4,late_PP,-0.602476010716833,3.43728212378596e-08,-0.557,-0.868881405019332,-1.00619233043241,-2.1173821688358,0.11
PLBD1-AS1,late_PP,0.602422041693342,1.28134565249617e-16,0.685,0.957556551370083,1.10984854395898,2.20454179746765,0.122
ZWINT,late_PP,0.601811843346595,2.2902887877106e-18,0.691,3.33339711841397,3.45921419711788,4.58158342176927,0.101
HIST1H2BF,late_PP,0.600416214722767,7.73301119665888e-13,0.637,2.69077956605998,2.86379158045512,3.93162556488431,0.139
PLXNA2,late_PP,-0.599969051857392,8.77360657994105e-23,-0.734,6.43227821336666,6.30868961943034,5.18774138439575,0.099
SERPINA5,late_PP,-0.599793816875605,9.69797163744259e-05,-0.379,0.231694292652566,0.0881164780696051,-1.01060427057819,0.116
TPTEP1,late_PP,-0.599790788513341,2.60452792575005e-09,-0.542,3.9660729849251,3.9310830972389,2.71361476323014,0.028
FALEC,late_PP,-0.599169252596924,2.79191986798499e-08,-0.532,-0.698763691700112,-0.795018002533134,-1.94418507979141,0.077
VMO1,late_PP,0.598758734718039,2.41600397691246e-07,0.599,-1.4321633924249,-1.42961608798395,-0.178828625424736,0.002
ZNF772,late_PP,-0.598432695996364,4.14593383251269e-17,-0.692,4.43848812188134,4.3373113834089,3.19506964093873,0.081
KCNB1,late_PP,-0.597903677046504,5.24702607103985e-08,-0.517,0.377281759285204,0.298069457685574,-0.867085466989029,0.064
PALM2,late_PP,-0.597380733341709,1.44962341166688e-12,-0.639,1.169091222676,1.0454087248298,-0.0700178596744705,0.1
STON1,late_PP,-0.596929494216756,3.96993088010549e-12,-0.605,3.23236280589322,3.2300146712691,1.98283912706789,0.002
DMTN,late_PP,-0.596882099386361,1.22636801277312e-16,-0.691,4.03302898919174,3.89124323311226,2.79665868338266,0.115
SEMA4G,late_PP,-0.596791881334712,5.63471323921621e-16,-0.678,3.57846623753696,3.40150023896435,2.345578387369,0.144
DAAM2,late_PP,-0.596007086114737,5.56520395892146e-16,-0.694,3.69475436175247,3.53191044043356,2.46218746605044,0.132
CDCA2,late_PP,0.595919672389158,6.53004054082146e-14,0.655,2.56735644533212,2.69540169488935,3.80299818059748,0.104
RP11-834C11.4,late_PP,-0.595877467056613,9.94949129328462e-14,-0.66,1.4525023909642,1.38717254397195,0.21107760337754,0.053
N4BP2L1,late_PP,-0.595708194088771,4.53310849730594e-20,-0.706,4.56101035284074,4.51506893433241,3.31812481438347,0.037
OVOS2,late_PP,0.595676153069838,5.56515699798265e-06,0.478,-1.42001852135187,-1.39820595805369,-0.174941121856322,0.018
CENPE,late_PP,0.595663673325572,5.18036295484158e-14,0.608,4.0078684015816,4.00829492025563,5.25492183413979,0
CTD-3234P18.6,late_PP,-0.595547561310096,2.83459445374224e-07,-0.495,-0.674547878864835,-0.815932007080251,-1.9081617694932,0.115
SNX20,late_PP,0.595421606425527,8.45964998633514e-14,0.683,1.24104287544661,1.37357568545019,2.4752217245785,0.107
FAM169A,late_PP,0.594855972231213,4.3492151703042e-15,0.655,2.00375583904507,2.13558553326629,3.23681629081079,0.107
HIST2H3C,late_PP,0.594636383327403,4.93758281036984e-14,0.644,4.94782259128263,5.10192554153897,6.17833808572148,0.125
KCNS3,late_PP,0.594478329400036,1.45809622588786e-10,0.564,2.67643166256044,2.75809615578595,3.9133979384781,0.066
DCLK1,late_PP,-0.594418368911895,4.86335881633438e-08,-0.553,4.43710080797862,4.39397625937717,3.19665195798985,0.035
GK3P,late_PP,0.593390194808038,1.73710485893248e-06,0.582,0.102915673466905,0.191762808909533,1.33693137030512,0.072
ZNF347,late_PP,-0.593339529513018,2.17341732327652e-20,-0.719,4.35368476881941,4.2163054090912,3.12431873134612,0.112
KLHDC1,late_PP,-0.593102226109059,1.03223521746703e-16,-0.698,2.67969603564276,2.55974977501397,1.44919473506137,0.097
DIXDC1,late_PP,-0.593040855510229,1.68627449099945e-15,-0.634,4.45024949112735,4.40272673203282,3.21309639105272,0.038
ENTPD7,late_PP,0.592641783031662,1.78566967026819e-16,0.595,4.16474409372755,4.22141716583683,5.40020503564006,0.046
IQUB,late_PP,-0.592543353632798,3.24597159125211e-09,-0.552,-0.829735800632707,-0.935351561101237,-2.06040865566334,0.086
PTPRU,late_PP,-0.592476421962715,3.59588348379807e-12,-0.576,4.26735284863626,4.25705798637717,3.02789618324066,0.008
RP11-328D5.4,late_PP,-0.591228671602546,2.10086073048688e-09,-0.605,0.279626929866645,0.271224497662785,-0.957394589703788,0.007
GALE,late_PP,0.590996913532993,2.37891642891368e-17,0.69,2.48473437059676,2.66492168763408,3.70518818069112,0.148
CARNS1,late_PP,-0.590185467992053,5.12512129771748e-11,-0.613,1.62583251196573,1.455362775423,0.406167800845937,0.14
OCA2,late_PP,-0.590116644076896,1.31220913384536e-11,-0.619,3.52495121752415,3.380147899921,2.30302770809854,0.119
RORA,late_PP,-0.58972782282804,1.00315713819627e-14,-0.634,10.4909966748459,10.4378872140072,9.26130283302574,0.043
CHADL,late_PP,-0.589578846355155,6.09278694488386e-17,-0.692,2.1631335950481,2.0460948357157,0.939736712498622,0.096
TNIP1,late_PP,0.589424339771836,7.18360376986857e-24,0.758,5.38730527547194,5.55909264647243,6.60525311644705,0.141
UHRF1,late_PP,0.589184406056714,8.3158071710693e-17,0.66,2.92417263072164,2.95434824156879,4.15487583073611,0.025
TENM3,late_PP,0.589017534759847,1.40982161197938e-08,0.487,1.24727487500327,1.27313608118682,2.47803262438275,0.021
HJURP,late_PP,0.588917069941508,4.23903271703712e-13,0.657,2.07588847955825,2.11295000016371,3.30538732066205,0.03
HSPA8P7,late_PP,0.588547468148923,1.07043602844286e-08,0.553,-0.461750887118789,-0.33303280530058,0.758393263572015,0.105
ASL,late_PP,0.58798269531949,4.38572355698281e-20,0.713,2.90770398291703,3.0631670233865,4.12416185164529,0.128
VPS37D,late_PP,-0.587849677362181,1.98664984118652e-10,-0.579,0.00943831282729671,-0.0119825920621401,-1.21929008786365,0.017
SPACA6,late_PP,-0.587741527882226,1.94027339330773e-11,-0.641,0.9437700160065,0.792653545320334,-0.272589865500994,0.124
VCAN,late_PP,-0.587454321693509,7.75354605406539e-08,-0.511,6.98099411214965,6.88610123498276,5.75997187998934,0.078
MMP25,late_PP,0.587304968139534,3.05720250896594e-09,0.555,0.0660994759929217,0.119948103032386,1.2906515801281,0.044
EXO1,late_PP,0.587122315923801,3.02454922670706e-14,0.63,2.0900589362853,2.09511577570942,3.31879652189674,0.004
RP11-303E16.3,late_PP,0.586883818355903,2.3550661102239e-15,0.687,-0.825970122764531,-0.672752572380256,0.388397337925202,0.126
ATAD3A,late_PP,0.586408687565564,5.23859216299841e-19,0.694,3.77469751173133,3.90670915531878,4.99005552551505,0.109
LENG9,late_PP,0.586090452933923,1.41533973068378e-12,0.607,1.15837192079257,1.22581084541368,2.37910896835405,0.055
CTB-113D17.1,late_PP,0.586087190888493,2.17501661492616e-05,0.418,-0.7514296712755,-0.712312623136183,0.47195204009312,0.032
RP11-323N12.5,late_PP,-0.586045254706642,3.25652122715254e-13,-0.66,4.33260303945307,4.16876663364333,3.12098534931782,0.135
NAPSB,late_PP,0.58599470420989,6.10880372108906e-10,0.581,0.22591865871962,0.34532961042273,1.4415896251064,0.098
RP11-80I15.4,late_PP,-0.585983012725059,4.56505729385991e-07,-0.476,-0.397408512324701,-0.424838996592276,-1.62166620999518,0.022
RP11-64D22.1,late_PP,-0.585363996757761,5.40843296959355e-14,-0.654,4.48835366675043,4.42389923162213,3.2688581345248,0.053
PLCH1,late_PP,-0.58465947407206,6.47979144961921e-07,-0.486,-0.647868679828265,-0.825118224349687,-1.85532933427567,0.147
TRIM16,late_PP,0.584254489845108,1.45002638339571e-21,0.752,5.64129768315156,5.81017175696723,6.8486945658681,0.14
CYP2S1,late_PP,0.583799402626171,5.56422411047797e-11,0.596,0.590799251752508,0.651972427247111,1.80732630989165,0.05
PCDHB9,late_PP,-0.583760119656666,1.12215809016712e-11,-0.615,0.584452418355633,0.549108956758527,-0.634410573272565,0.029
AC010127.3,late_PP,-0.583056509739539,8.03164797334446e-08,-0.492,-0.646907751835641,-0.692977050065194,-1.86329349916066,0.038
MSRB3,late_PP,-0.582871762498212,5.33505314843073e-12,-0.622,3.98491685605632,3.89820798554773,2.77272257487502,0.072
RP11-45A17.3,late_PP,-0.582685710941254,2.45992954907636e-06,-0.456,-0.733475132361607,-0.873960630257638,-1.94024532592311,0.116
RAD51AP1,late_PP,0.582669204087234,1.58948137667401e-18,0.725,2.11422060322439,2.27201802846539,3.31933549554882,0.131
XXbac-BPGBPG55C20.2,late_PP,-0.582626487549139,3.9893610514607e-12,-0.593,2.86878069319994,2.80577345822227,1.65488097808977,0.052
MGAT3,late_PP,-0.582224378522932,8.69649907840602e-11,-0.601,1.77179076234243,1.65520125915626,0.5637492811839,0.097
SMCO4,late_PP,0.582079976193625,1.24142292311044e-13,0.631,1.59281155928945,1.73864134177062,2.7978132427108,0.121
RP11-553K23.2,late_PP,-0.582051433543845,6.69935183943817e-11,-0.595,-0.139589666237236,-0.251028377226037,-1.34775128335608,0.092
FRMD4A,late_PP,-0.582003354405758,5.98822393776182e-24,-0.748,6.01741331460931,5.90408582091664,4.80952918471856,0.094
CCDC180,late_PP,-0.581953242994597,5.62986625836994e-13,-0.638,1.57768033161089,1.43472280657039,0.372675078684251,0.119
GPR84,late_PP,0.581517378734002,7.66664911761929e-06,0.45,-2.39630170833795,-2.27724480674601,-1.18997141382821,0.099
PGD,late_PP,0.581362290301165,5.31760530132489e-19,0.713,5.60565422226598,5.75128443010566,6.80917202834147,0.121
ABCA9-AS1,late_PP,-0.581340140283371,5.43334357961097e-06,-0.442,-0.553750931641428,-0.566525240553413,-1.76966032956957,0.011
HMGB3,late_PP,0.581332957653234,1.38830984661439e-18,0.706,4.00338690963515,4.18029346226547,5.20391521376137,0.147
HIST1H3J,late_PP,0.580630583866843,4.88596916203829e-14,0.661,4.23378829711109,4.39501834440821,5.43431373144458,0.134
LCP2,late_PP,0.580152086319501,1.94962778293956e-10,0.612,1.53934465156012,1.59538606400754,2.74871605094859,0.046
HENMT1,late_PP,0.579806481189135,1.54747511581344e-13,0.674,1.49526233716516,1.62168472211414,2.6973211060569,0.105
SEPSECS-AS1,late_PP,-0.579733134392123,3.2943230032214e-06,-0.557,0.708091512992095,0.65939664001035,-0.501090543094786,0.04
TRPC1,late_PP,-0.579343667475581,2.58060260691579e-17,-0.696,2.74709870752311,2.61043706185044,1.54696749397042,0.114
RP11-535A19.1,late_PP,-0.579270389863508,1.74429946222355e-18,-0.701,5.63025137050062,5.45534735178438,4.43385382232362,0.146
VCAN-AS1,late_PP,-0.578682161600054,2.5531732696227e-07,-0.499,2.45870449353248,2.40790894673105,1.25191944009811,0.042
RP11-688G15.3,late_PP,0.57866920870796,3.33474431181612e-21,0.743,3.33917937995388,3.49110799927073,4.53646923951113,0.127
RP11-195F19.9,late_PP,-0.578437321486402,8.82527820221972e-10,-0.599,0.289225205595141,0.13276637758021,-0.907155052231095,0.131
MIR9-3HG,late_PP,0.578432912327102,8.79461887108557e-07,0.49,-1.94244225218426,-1.87801561599353,-0.737455174216324,0.053
