gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
MLLT3,3,-0.217,0.094,-2.3,0.0217162080874843,0.0433453883969918,69.1,0.0169,6.48,down
SRGAP2,3,-0.735,0.32,-2.3,0.0217241879261463,0.0433576191630284,97.9,0.2993,93.91,down
RP11-325P15.2,3,0.194,0.085,2.29,0.0217408831988165,0.0433872408185076,11.7,0.0031,2.26,up
PRADC1P1,2,0.19,0.083,2.29,0.0217478562849338,0.0433974569750248,0,0,0.32,up
NACA3P,3,-0.192,0.084,-2.29,0.0217535990802709,0.0434052165760365,0,0,0.27,down
CRAT,3,-1.759,0.766,-2.29,0.0217578345245501,0.0434099674750867,92,1.5969,24.89,down
CTD-2525I3.6,2,-0.448,0.195,-2.29,0.0217648708786249,0.0434203053006418,73,0.0558,3.71,down
AP5M1,3,0.217,0.095,2.29,0.0217779569780476,0.0434427094076792,84.4,0.0222,12.81,up
CLEC5A,2,0.516,0.225,2.29,0.0217860586844252,0.0434551676673236,89.1,0.0907,9.2,up
ZNF674-AS1,3,-0.185,0.081,-2.29,0.021798114861113,0.0434724474074506,32.8,0.007,2.98,down
MEIS2,3,-0.214,0.093,-2.29,0.0217984359720046,0.0434724474074506,68.7,0.0167,6.39,down
LARGE1,3,-0.355,0.155,-2.29,0.0218085578122649,0.0434889283437523,88.2,0.057,16.98,down
LAMA5,3,-0.582,0.254,-2.29,0.0218109103014206,0.0434899147568957,92.7,0.1675,27.21,down
KLHL28,3,-0.352,0.153,-2.29,0.0218249101173449,0.0435141232379633,87.6,0.054,16.07,down
LETM2,3,-0.244,0.106,-2.29,0.0218562361411232,0.0435728693431743,34.3,0.0127,3.04,down
IDH3B,3,0.447,0.195,2.29,0.0218836124110686,0.0436207115236128,95.4,0.1,43.87,up
OAZ1,3,0.345,0.15,2.29,0.0218839607045712,0.0436207115236128,93,0.0624,28.4,up
CYTH2,3,0.16,0.07,2.29,0.0219021477748651,0.0436532462547312,69.9,0.0088,6.65,up
RP11-637A17.2,3,0.15,0.065,2.29,0.0219052958956964,0.0436558038159677,0,0,0.12,up
USMG5P1,3,0.58,0.253,2.29,0.021960106370246,0.0437613118260908,87,0.1644,15.43,up
PKIG,3,-0.3,0.131,-2.29,0.0219726780138853,0.0437826370128567,82.6,0.0378,11.47,down
RPL7L1P8,3,0.301,0.131,2.29,0.0219848930834349,0.0438032481224042,48,0.0261,3.85,up
CCL26,2,-1.567,0.684,-2.29,0.0219888927969047,0.0438074886368292,89.5,0.842,9.49,down
DUOX1,3,0.624,0.272,2.29,0.0219913987486978,0.043808752728131,95,0.1716,39.72,up
AC068533.7,3,0.276,0.12,2.29,0.022000721226879,0.0438235945541194,90,0.0361,19.93,up
RP11-521B24.4,3,0.45,0.196,2.29,0.0220032701153151,0.0438249425788659,91.6,0.096,23.93,up
TMED2,3,0.23,0.101,2.29,0.0220100228554234,0.0438346626699512,86.1,0.0246,14.42,up
AC027612.1,3,0.333,0.145,2.29,0.0220269877018087,0.0438647175764899,88.1,0.0552,16.84,up
GK5,3,-0.318,0.139,-2.29,0.0220304586084014,0.0438678977172565,71.3,0.0401,6.97,down
DOCK5,3,-0.448,0.196,-2.29,0.0220383709293211,0.0438799204800951,90.1,0.0786,20.24,down
ENTPD7,3,0.883,0.386,2.29,0.0220621913600698,0.0439236126507803,97.7,0.4343,88.44,up
C2CD2L,3,0.233,0.102,2.29,0.0220717498749357,0.0439389057591947,70.1,0.0191,6.69,up
LINC01023,3,-0.293,0.128,-2.29,0.0220870698590144,0.0439656648239513,18.7,0.0119,2.46,down
PIP4K2C,3,0.229,0.1,2.29,0.0220900108336197,0.0439677802571382,87.3,0.023,15.75,up
TOPORS-AS1,3,-0.184,0.08,-2.29,0.02210008235803,0.0439840867130695,53.6,0.0094,4.31,down
CCDC69,3,0.701,0.306,2.29,0.0221049867097918,0.0439901074461886,93.7,0.213,31.62,up
SCYL3,3,-0.095,0.042,-2.29,0.0221278979016443,0.0440319586857865,42,0.0021,3.45,down
RP11-354M20.3,3,-0.326,0.142,-2.29,0.0221308441880678,0.0440340783339124,67.4,0.0377,6.14,down
BCRP3,3,0.459,0.201,2.29,0.0221330845945087,0.0440347932409362,80.9,0.0949,10.48,up
DPF3,3,-0.602,0.263,-2.29,0.022142133405372,0.0440490525101006,84.5,0.1362,12.91,down
TACR1,2,-0.603,0.264,-2.29,0.0221493868498124,0.0440597379985774,90.5,0.1263,10.49,down
PRELID3B,3,0.489,0.214,2.29,0.0221601467042017,0.0440773960573249,94.8,0.1262,38.59,up
FAM19A2,3,-0.531,0.232,-2.29,0.0221714616998749,0.044095118162038,81,0.109,10.52,down
PRADC1,3,0.445,0.194,2.29,0.0221728239517002,0.044095118162038,91.4,0.0882,23.22,up
CTB-50L17.14,2,1.462,0.639,2.29,0.0221760849755927,0.0440978570500891,92,0.7531,12.44,up
FMN1,3,-0.547,0.239,-2.29,0.0221823547017566,0.0441065778657454,90.2,0.1247,20.37,down
GUSBP4,3,-0.723,0.316,-2.29,0.0222063874791681,0.0441506135977447,86.8,0.2517,15.11,down
PI4KB,3,0.214,0.093,2.29,0.0222167077768829,0.0441673810912147,90.8,0.021,21.83,up
LDHD,3,-0.782,0.342,-2.29,0.022240629339687,0.0442111831023041,78.5,0.2401,9.32,down
RASAL2,3,-0.515,0.225,-2.29,0.022242671629828,0.0442114885100317,95.8,0.1411,47.93,down
TENM3,3,0.708,0.31,2.29,0.0222509701428276,0.0442242282283453,84.2,0.2,12.68,up
RP11-612B6.2,3,-0.492,0.215,-2.29,0.0222639991958251,0.0442463670239467,77.9,0.0928,9.05,down
RP4-669P10.20,2,-0.663,0.29,-2.29,0.0222778542827063,0.0442701435402267,81,0.1381,5.25,down
RP11-792A8.4,3,-0.251,0.11,-2.29,0.022284790162097,0.0442801674649459,58.6,0.0185,4.83,down
MRPS21,3,0.266,0.116,2.28,0.0223463498354697,0.0443987186639373,89.9,0.0335,19.81,up
ACADVL,3,0.182,0.08,2.28,0.0223825006832142,0.0444667706435849,58.7,0.01,4.84,up
ALG2,3,0.225,0.099,2.28,0.0223931073824874,0.0444840674403129,86.5,0.0245,14.77,up
LINC01091,2,-1.94,0.85,-2.28,0.0224014706071341,0.0444969050014767,97.3,1.4055,37.05,down
ASCC3,3,0.459,0.201,2.28,0.0224068131495092,0.0445037407955931,95,0.1103,40.22,up
SDK1,3,-0.188,0.082,-2.28,0.0224493641466666,0.0445841757192356,0,0,0.01,down
ACTBP12,2,0.316,0.138,2.28,0.022451119799152,0.0445841757192356,0,0,0.75,up
RP11-497H16.9,3,-0.183,0.08,-2.28,0.0225098330165485,0.0446969786312991,0,0,1.95,down
SCRN3,3,0.119,0.052,2.28,0.0225136606410038,0.0447007872727107,19.8,0.0019,2.49,up
H19,3,-2.606,1.142,-2.28,0.0225162554570078,0.044702147739216,94,3.4302,33.13,down
ETHE1,3,0.935,0.41,2.28,0.0225380128833327,0.0447415488115617,96.6,0.4831,59.4,up
PSMD13,3,0.304,0.133,2.28,0.0225500735058663,0.0447607727982106,93.9,0.0477,32.61,up
RP11-264B17.4,3,0.277,0.122,2.28,0.0225526403946557,0.0447607727982106,62.4,0.027,5.31,up
TMSB4X,3,-0.127,0.056,-2.28,0.0225534330879104,0.0447607727982106,29.4,0.003,2.83,down
RBM23,3,0.138,0.061,2.28,0.0225585998401575,0.0447672315749616,77.3,0.0075,8.82,up
CACYBPP2,3,0.282,0.124,2.28,0.0225749838225183,0.0447959478088778,75.9,0.03,8.29,up
MRPL34,3,0.207,0.091,2.28,0.0225832239417578,0.0448085005299719,78.9,0.0187,9.47,up
BAK1P1,3,0.701,0.307,2.28,0.0226128766780591,0.0448635333635635,93.1,0.2608,29.05,up
RP11-841O20.2,3,0.651,0.286,2.28,0.0226518407698698,0.0449370288628713,92.4,0.2234,26.36,up
KCP,3,0.312,0.137,2.28,0.0226603010493009,0.044950003157621,83.1,0.043,11.81,up
MTOR-AS1,3,0.126,0.055,2.28,0.022678738118529,0.0449827639905647,0,0,0.74,up
PIAS1,3,-0.304,0.133,-2.28,0.0226852432191277,0.0449918544875507,93,0.047,28.55,down
RAB3C,2,-0.334,0.147,-2.28,0.022693852735399,0.0450047035634298,10.6,0.0081,1.12,down
CBWD1,3,0.237,0.104,2.28,0.0226955669001789,0.0450047035634298,79,0.0249,9.53,up
PAM16,3,0.235,0.103,2.28,0.0227167939525819,0.0450429806569532,66.4,0.0185,5.95,up
AC021224.1,3,0.112,0.049,2.28,0.0227206170019018,0.0450467454389362,37,0.0027,3.18,up
TRAF3IP1,3,-0.069,0.03,-2.28,0.022734575185984,0.0450706021789211,0,0,1.26,down
PEF1,3,0.066,0.029,2.28,0.0227780618119194,0.0451529891570177,0,0,0.88,up
RP11-958N24.2,3,-0.52,0.228,-2.28,0.0228066221318733,0.0452047990243994,81.3,0.1258,10.71,down
RP11-10L12.2,2,-0.457,0.201,-2.28,0.0228080602023658,0.0452047990243994,0,0,0.01,down
RAP2A,3,0.415,0.182,2.28,0.0228176123020164,0.0452199023347361,93.9,0.0922,32.56,up
LINC00639,2,-0.528,0.232,-2.28,0.0228324982144102,0.0452455727335247,52.4,0.0621,2.1,down
PHB,3,0.393,0.172,2.28,0.0228478829606944,0.0452722272072876,92.4,0.0752,26.24,up
TEN1-CDK3,3,0.089,0.039,2.28,0.0228545953735997,0.0452816947186285,0,0,1.48,up
UGT3A2,3,-3.662,1.609,-2.28,0.0228843786547168,0.0453368669539831,97,7.4799,66.93,down
BCL10,3,0.384,0.169,2.28,0.0228899411884008,0.0453440495285838,92.8,0.0737,27.82,up
SDC3,3,-0.135,0.06,-2.28,0.0228995311767389,0.0453553746219462,26.8,0.0031,2.73,down
KLHDC2,3,-0.178,0.078,-2.28,0.0228995331990594,0.0453553746219462,83.4,0.0135,12.07,down
HIKESHI,3,0.216,0.095,2.27,0.0229178810959641,0.0453878746679716,85.7,0.0219,13.97,up
PIK3C3,3,-0.254,0.112,-2.27,0.0229286478798097,0.0454053564181089,89.9,0.0305,19.86,down
LMBR1L,3,0.334,0.147,2.27,0.0229310864076211,0.0454061625373841,83.2,0.0448,11.88,up
LRRC40,3,0.099,0.044,2.27,0.022932934327801,0.0454061625373841,0,0,0.66,up
LARS,3,0.235,0.103,2.27,0.0229363024321583,0.0454089904968195,86.2,0.0249,14.52,up
RAB11FIP1P1,3,-0.412,0.181,-2.27,0.0229382994087599,0.0454091036667788,77.6,0.0698,8.95,down
SLC12A7,3,-0.512,0.225,-2.27,0.0229542574725262,0.0454368521202744,90.9,0.1232,21.95,down
RP11-110J1.2,3,0.073,0.032,2.27,0.0229649645824073,0.045454202748759,0,0,0.56,up
HEATR4,3,-0.683,0.301,-2.27,0.0229861441694127,0.0454922767045807,88.4,0.2336,17.25,down
HDX,3,-0.436,0.192,-2.27,0.0229890757975328,0.0454942324240802,76.5,0.0774,8.51,down
FRG1,3,0.26,0.114,2.27,0.0229974376766503,0.0455069330999752,85.5,0.0322,13.82,up
PFKM,3,-0.069,0.03,-2.27,0.0230236999897805,0.0455550497050775,0,0,0.43,down
ZNF410,3,0.199,0.088,2.27,0.0230257256069547,0.0455552071275527,91,0.0194,22.27,up
BCHE,3,-0.467,0.206,-2.27,0.0230388451046959,0.0455755011030195,68.7,0.0739,6.39,down
SNORA17A,3,0.261,0.115,2.27,0.0230398769726657,0.0455755011030195,0.2,1e-04,2,up
ZNF891,3,-0.355,0.156,-2.27,0.0230718920731879,0.0456349743592105,88.7,0.063,17.72,down
NDUFS1,3,0.101,0.044,2.27,0.0230935153690956,0.0456738848660999,55.7,0.0031,4.51,up
RP11-697E2.12,3,-0.139,0.061,-2.27,0.0231261444089843,0.0457345538962503,45.8,0.005,3.69,down
UCK2,3,0.364,0.16,2.27,0.0231339466075906,0.0457461189505904,92.4,0.0678,26.46,up
NBPF26,3,-0.261,0.115,-2.27,0.0231361924022524,0.045746695493228,65.7,0.0241,5.83,down
MT-ND4,3,-0.277,0.122,-2.27,0.0231407038894736,0.0457517514652608,35.2,0.019,3.08,down
NET1,3,-0.168,0.074,-2.27,0.0231800581044228,0.0458245454856873,71.1,0.0106,6.92,down
ZNF552,3,0.214,0.094,2.27,0.0231814373805592,0.0458245454856873,74.7,0.0179,7.9,up
AC012314.8,3,0.282,0.124,2.27,0.0232086398567396,0.0458744448540418,86.1,0.0373,14.44,up
CTD-2369P2.8,3,0.817,0.36,2.27,0.0232112894107727,0.0458758083263067,87.6,0.2684,16.17,up
CCDC47,3,0.213,0.094,2.27,0.0232259689567119,0.0459009461635855,85.3,0.0206,13.63,up
RP11-532M24.1,2,-0.255,0.112,-2.27,0.0232349458784311,0.0459148107435585,0,0,0.22,down
RP11-51L5.5,3,0.335,0.148,2.27,0.0232664994669351,0.0459732831958709,84.3,0.0489,12.78,up
RPL5,3,-0.211,0.093,-2.27,0.0232886329643153,0.0460131337830568,84.9,0.0209,13.27,down
CGREF1,3,0.517,0.228,2.27,0.0233271485977931,0.0460828026450236,84.5,0.1147,12.87,up
RP11-973H7.3,3,-0.25,0.11,-2.27,0.0233278316606232,0.0460828026450236,32.2,0.0124,2.95,down
HOXC8,3,-0.387,0.171,-2.27,0.0233436973027645,0.0461102531567306,68.7,0.0583,6.39,down
C19orf53,3,0.27,0.119,2.27,0.0233732488970863,0.0461647302929374,83.3,0.0332,12,up
LINC01122,3,0.191,0.084,2.27,0.0233758311910828,0.0461659354047124,62.8,0.0126,5.38,up
FAR1,3,0.202,0.089,2.27,0.0233825551315769,0.0461722120477936,65,0.0132,5.72,up
NPIPA2,3,-0.435,0.192,-2.27,0.0233829541555211,0.0461722120477936,78.9,0.0849,9.46,down
RNASEH1,3,0.307,0.135,2.27,0.0233898985041348,0.0461820288531791,92.6,0.0485,27,up
PDK1,3,-0.122,0.054,-2.27,0.0233957105206146,0.0461896084656379,0,0,0.87,down
CCDC61,3,-0.179,0.079,-2.27,0.0234094202069923,0.0462127776712332,45.1,0.0084,3.65,down
AC000089.3,3,-0.091,0.04,-2.27,0.0234151805150781,0.0462202513430696,0,0,1.24,down
PPM1K,3,-0.57,0.251,-2.27,0.023421173783045,0.0462281835655397,86.8,0.1609,15.11,down
C1QTNF12,3,-0.472,0.208,-2.27,0.0234509870994358,0.0462831259599269,54.4,0.0643,4.39,down
ZNF438,3,-0.358,0.158,-2.27,0.023475252773805,0.0463253073404316,92.2,0.0568,25.59,down
GOLGA1,3,0.101,0.045,2.27,0.0234763176974471,0.0463253073404316,57.3,0.003,4.69,up
CFH,3,-1.109,0.49,-2.27,0.0234784499234837,0.046325609765579,90.8,0.4722,21.82,down
LRRC2,3,-0.949,0.419,-2.27,0.0234897557298461,0.0463403089949004,91.3,0.4258,22.93,down
SNX12,3,0.155,0.069,2.27,0.0234898588804942,0.0463403089949004,79.3,0.01,9.65,up
RP11-420K8.1,3,-0.352,0.155,-2.27,0.0235094319406872,0.0463712692098145,55.9,0.0387,4.53,down
TRAPPC10,3,0.095,0.042,2.27,0.0235095144167661,0.0463712692098145,54.6,0.0028,4.4,up
SYNE2,3,-0.532,0.235,-2.26,0.0235442233646154,0.0464358180758515,94.4,0.1488,35.61,down
RP11-343H19.2,3,-0.685,0.302,-2.26,0.0235469352336735,0.046437254160494,86.5,0.2073,14.81,down
RP11-115C21.2,3,0.256,0.113,2.26,0.0235687180854033,0.0464762969978271,49,0.0191,3.92,up
RPL21P28,3,-0.099,0.044,-2.26,0.0236018646530082,0.0465377400321993,0,0,0.12,down
ATP6V1G2-DDX39B,3,0.239,0.106,2.26,0.0236077304017691,0.0465453854101754,91.1,0.0263,22.51,up
WASH5P,3,-0.25,0.111,-2.26,0.0236108228001947,0.0465470398498441,29.2,0.0116,2.82,down
MRPS10,3,0.28,0.124,2.26,0.0236125463803195,0.0465470398498441,89.7,0.0382,19.37,up
ZNF736,3,-0.491,0.217,-2.26,0.0236456404737711,0.0466083527998069,94.8,0.1299,38.57,down
RP11-632C17__A.1,3,-0.103,0.046,-2.26,0.0236625427986281,0.0466377422222014,21.5,0.0014,2.55,down
DSG1-AS1,3,-0.122,0.054,-2.26,0.0236739190900059,0.0466562360648213,0,0,1.1,down
DNMBP-AS1,3,-0.524,0.232,-2.26,0.0236962664250822,0.0466963465565073,93.4,0.1377,30.27,down
SLC17A7,2,-2.291,1.013,-2.26,0.0237010468772005,0.0467018355512109,94.5,1.9446,18.21,down
TBC1D3C,3,0.337,0.149,2.26,0.0237202642794981,0.0467357685816657,32.3,0.0237,2.95,up
RHBDD1,3,-0.203,0.09,-2.26,0.02373362137482,0.0467581503756237,86.7,0.0179,15.01,down
SSBP1,3,0.401,0.178,2.26,0.0237393326274238,0.0467654664205474,95.8,0.0886,47.42,up
RIMS1,2,-2.901,1.283,-2.26,0.0237433864392111,0.0467662301104397,92.5,3.0567,13.34,down
ZNF709,3,-0.404,0.179,-2.26,0.0237437158726377,0.0467662301104397,87.9,0.0683,16.52,down
RP11-536C10.12,3,0.257,0.113,2.26,0.0237640981972844,0.0468024377166608,55.3,0.0213,4.47,up
PDE4DIP,3,-0.621,0.275,-2.26,0.0237878847133569,0.0468453430853008,96,0.2034,50.12,down
TTC3P1,3,-0.48,0.212,-2.26,0.023806156367699,0.0468773817640869,95.1,0.1274,40.89,down
USP15,3,0.296,0.131,2.26,0.0238272518442861,0.0469149750544952,89.3,0.0388,18.7,up
ACTRT3,3,0.562,0.249,2.26,0.0238312137117391,0.0469188294178386,87,0.1553,15.41,up
FSCN1P1,3,1.057,0.468,2.26,0.0238414386913692,0.0469350128943117,91.8,0.5842,24.34,up
GTF3C5,3,0.229,0.101,2.26,0.0238494302324792,0.0469467972008161,87.7,0.0251,16.3,up
C1R,3,0.691,0.306,2.26,0.0238538190182685,0.0469484864735605,90.1,0.1815,20.21,up
BBS5,3,-0.165,0.073,-2.26,0.0238542995478888,0.0469484864735605,60,0.0086,5,down
ABCA6,2,-0.946,0.419,-2.26,0.0238820378461284,0.0469991276956721,94.2,0.3306,17.18,down
RP11-981G7.6,2,-0.923,0.408,-2.26,0.0238856066938846,0.0470021996551063,85.8,0.2873,7.03,down
HPGD,3,-0.311,0.138,-2.26,0.0239226609094411,0.0470711582103982,47.8,0.0255,3.83,down
RELL2,3,1.127,0.499,2.26,0.023943163246731,0.0471075397917907,97.3,0.7218,73.43,up
TMED7-TICAM2,3,0.173,0.077,2.26,0.0239661353474701,0.0471487740439471,68.7,0.011,6.4,up
MTA1,3,-0.207,0.092,-2.26,0.0240198258141964,0.047250428780212,66.5,0.0143,5.97,down
LAMTOR5,3,0.292,0.129,2.26,0.0240311507373838,0.0472687343594166,91.7,0.0445,24.05,up
CTD-2545M3.2,3,0.249,0.11,2.26,0.0240411816624123,0.0472836406811022,86.1,0.0271,14.43,up
ST13P3,3,-0.217,0.096,-2.26,0.0240427688080294,0.0472836406811022,60.2,0.0163,5.03,down
HLA-E,3,0.471,0.209,2.26,0.0240663947515367,0.0473261285902825,92.2,0.0906,25.62,up
RP11-876N24.3,3,0.251,0.111,2.26,0.0240704957836944,0.0473302172028982,24.9,0.0108,2.66,up
PPATP1,3,0.227,0.101,2.26,0.0240737267509924,0.0473325944493516,4,0.0021,2.08,up
RP11-231I16.1,3,-0.348,0.154,-2.26,0.0241003541780917,0.0473797722773804,63.7,0.0419,5.5,down
IFT122,3,-0.375,0.166,-2.26,0.0241017697585991,0.0473797722773804,93.2,0.0738,29.54,down
NDST2,3,0.074,0.033,2.26,0.0241114948272293,0.0473940461440103,0,0,0.18,up
RP11-65B7.2,3,-0.423,0.188,-2.26,0.0241130799938127,0.0473940461440103,86.4,0.0859,14.66,down
HERC1,3,-0.299,0.133,-2.26,0.0241251699585291,0.0474138278531783,89.5,0.0438,19.04,down
JUP,3,0.395,0.175,2.25,0.0241334969764061,0.0474262114439801,84.3,0.0607,12.75,up
ZNF571,3,-0.565,0.25,-2.25,0.0241521237228849,0.0474588318835736,95,0.167,39.67,down
RP11-574F21.2,3,-0.144,0.064,-2.25,0.0241626807511845,0.0474755912123953,0,0,0.24,down
RP11-727F15.9,3,0.262,0.116,2.25,0.0241892834234296,0.0475238720653851,75.6,0.029,8.21,up
RP11-148B6.1,3,0.158,0.07,2.25,0.0241971911895748,0.047535418643568,48.8,0.007,3.91,up
CIAO1,3,0.096,0.043,2.25,0.0242191928497638,0.0475746484366972,62.5,0.0031,5.33,up
XXbac-BPG294E21.9,2,-0.159,0.071,-2.25,0.0242240263048162,0.0475801503414535,0,0,0.18,down
SEMA4C,3,-0.201,0.089,-2.25,0.0242530977918629,0.04763325498865,61.3,0.013,5.17,down
AC105760.2,3,-0.354,0.157,-2.25,0.0242585256713251,0.0476356025710491,53.1,0.0405,4.26,down
RP11-355F16.1,2,-1.306,0.58,-2.25,0.0242592132909601,0.0476356025710491,86.9,0.5872,7.66,down
BPGM,3,0.353,0.157,2.25,0.0242603978748365,0.0476356025710491,86.7,0.0511,15.09,up
NME7,3,0.819,0.364,2.25,0.024263124596652,0.0476369608054203,94.6,0.3695,37.33,up
HIGD1AP1,3,0.875,0.389,2.25,0.0242735070275888,0.0476533483737693,96.3,0.427,54.03,up
CTC-510F12.4,3,0.297,0.132,2.25,0.0243047624105037,0.0477107071922417,75.8,0.0309,8.27,up
AC144652.1,3,-0.595,0.264,-2.25,0.024335739751541,0.0477639442495121,72.8,0.1386,7.34,down
RPL23AP7,3,-0.733,0.325,-2.25,0.0243359632220057,0.0477639442495121,96.2,0.2961,52.3,down
AKIRIN1,3,0.268,0.119,2.25,0.0243609224913419,0.0478089230885162,88.3,0.032,17.15,up
UNC119B,3,-0.12,0.053,-2.25,0.0243928091984446,0.0478642077847521,71.6,0.0057,7.04,down
PCYOX1,3,-0.209,0.093,-2.25,0.0243931820612624,0.0478642077847521,82.5,0.0202,11.45,down
GIMAP2,3,0.247,0.11,2.25,0.024397863302169,0.0478693807761691,39.3,0.0148,3.3,up
RASL10A,2,-0.303,0.135,-2.25,0.0244002761150659,0.0478701025458916,0,0,0.94,down
E2F8,3,0.804,0.357,2.25,0.0244034756785533,0.0478723675655119,95.7,0.3627,46.15,up
PIGX,3,0.292,0.13,2.25,0.0244095213096253,0.0478802148765727,88.9,0.0437,18.04,up
KIAA1191,3,-0.175,0.078,-2.25,0.0244133692421755,0.0478837503636437,84.3,0.0125,12.75,down
NBPF19,3,-0.299,0.133,-2.25,0.0244241834636879,0.0479009476123886,80.3,0.0353,10.13,down
SNORA17,3,0.258,0.114,2.25,0.0244328022021292,0.0479138365376261,0,0,1.87,up
RAB29,3,0.31,0.138,2.25,0.0244497457443486,0.0479430472549386,77.6,0.0381,8.94,up
PBX3,3,-0.497,0.221,-2.25,0.0244667876494349,0.0479724459406669,95.1,0.1318,40.63,down
ZNF45,3,-0.269,0.119,-2.25,0.0244880528002547,0.0480067024483321,88.8,0.0352,17.92,down
MRPL13,3,0.468,0.208,2.25,0.0244883606277728,0.0480067024483321,94.8,0.1205,38.35,up
TAGLN2P1,3,0.271,0.121,2.25,0.0245009578140061,0.0480255745355591,81.9,0.0341,11.07,up
LRP1-AS,3,-0.56,0.249,-2.25,0.0245037953874128,0.0480255745355591,76.4,0.1253,8.48,down
VPS13D,3,-0.373,0.166,-2.25,0.0245041420929009,0.0480255745355591,91.7,0.0636,24.07,down
MRPS26,3,0.184,0.082,2.25,0.0245074587142225,0.0480280536660723,65.5,0.0124,5.8,up
PSMD4,3,0.215,0.096,2.25,0.0245296044546581,0.0480674293218728,85.9,0.0228,14.14,up
PGM5P2,3,-0.727,0.323,-2.25,0.0245422536094107,0.0480881907376492,93.5,0.2775,30.63,down
TMEM67,3,-0.307,0.136,-2.25,0.0245512031014837,0.0480991014713117,85.7,0.0427,14.01,down
CYP8B1,2,1.615,0.718,2.25,0.0245519314571619,0.0480991014713117,91.8,0.9507,12.2,up
NOS1AP,2,-0.443,0.197,-2.25,0.0245580017753482,0.0481069676618516,77.5,0.0613,4.45,down
DDX50,3,-0.057,0.025,-2.25,0.024577539289651,0.0481412113824316,0,0,0.36,down
PTCHD3P1,3,0.19,0.085,2.25,0.0245963880859519,0.0481741004605128,44.2,0.0094,3.59,up
TMEM198B,3,-0.549,0.244,-2.25,0.0246152984356644,0.0482071045829891,92.3,0.1552,25.96,down
CFAP97,3,-0.091,0.04,-2.25,0.0246718564868056,0.0483138270453097,0,0,0.06,down
GBP4,2,1.5,0.668,2.25,0.0246788727333327,0.0483203566160298,97.6,0.87,41.42,up
PELI1,3,0.225,0.1,2.25,0.0246811479731621,0.0483203566160298,75.6,0.0178,8.18,up
PPP1R37,3,-0.09,0.04,-2.25,0.0246813834020192,0.0483203566160298,0,0,0.54,down
ELOC,3,0.42,0.187,2.25,0.0246958722243099,0.0483446791184873,94.9,0.0942,39.55,up
TAF1D,3,0.294,0.131,2.25,0.0247076426339126,0.0483590075152039,79,0.0362,9.51,up
S100A11,3,0.764,0.34,2.25,0.0247088850275509,0.0483590075152039,96.3,0.3248,53.55,up
NDUFV2P1,3,0.383,0.171,2.25,0.024709729380364,0.0483590075152039,93.4,0.0809,30.24,up
PDAP1,3,0.382,0.17,2.25,0.0247114549060989,0.0483590075152039,94.2,0.079,34.27,up
ZNF221,3,-0.996,0.444,-2.25,0.0247241713725813,0.0483798485046188,94.8,0.547,38.41,down
PRKAG1,3,0.253,0.113,2.25,0.0247446232860242,0.0484158213392294,92.8,0.0335,27.62,up
SMAD2,3,-0.149,0.066,-2.25,0.024757419463851,0.0484368100484152,74.9,0.0089,7.97,down
U2AF1,3,0.244,0.108,2.25,0.0247613013147573,0.0484371306518488,85.4,0.0272,13.74,up
BRD7P2,3,0.137,0.061,2.25,0.0247617216673362,0.0484371306518488,68.8,0.0075,6.41,up
RNF216,3,-0.114,0.051,-2.24,0.024772471832978,0.0484541103892197,75.2,0.0054,8.05,down
RP11-37J13.1,3,0.187,0.083,2.24,0.0247863196456402,0.0484771456750598,22.3,0.005,2.57,up
TRIM8,3,-0.317,0.141,-2.24,0.0247891169032734,0.0484785662145971,89,0.049,18.15,down
RALGAPA1,3,-0.388,0.173,-2.24,0.024795942398104,0.0484878636368904,92.4,0.0725,26.31,down
BLVRA,3,-0.119,0.053,-2.24,0.0247996748357337,0.0484911116129043,34.5,0.0032,3.05,down
CORO1B,3,0.24,0.107,2.24,0.024824689105313,0.0485359682006407,82.5,0.028,11.43,up
LYPD1,3,1.252,0.558,2.24,0.0248407870263071,0.0485586674911183,96,0.8919,50.16,up
ITGB3,3,-0.879,0.392,-2.24,0.024840903993775,0.0485586674911183,90.7,0.3287,21.56,down
CTD-2555C10.3,3,2.103,0.937,2.24,0.024842522186921,0.0485586674911183,93,2.4073,28.71,up
CARS,3,0.18,0.08,2.24,0.0248705303230801,0.0486093549580848,78.3,0.0122,9.21,up
MLST8,3,0.337,0.15,2.24,0.0248834996127453,0.0486305252105582,87.9,0.0549,16.51,up
KMT5B,3,-0.227,0.101,-2.24,0.0248855167455798,0.0486305252105582,86.2,0.0209,14.54,down
CSRNP3,3,-0.668,0.298,-2.24,0.0248974207683898,0.0486497264413387,93.4,0.2365,30.15,down
TOP1MT,3,-0.095,0.042,-2.24,0.0249040428329846,0.0486586043466602,0,0,0.65,down
TTC32,3,-0.309,0.138,-2.24,0.0249104388280796,0.04866703910253,73.2,0.0353,7.45,down
PSMA1,3,0.349,0.156,2.24,0.0249252544155967,0.04869192027161,94.3,0.0651,35.16,up
CYP21A2,2,-1.916,0.855,-2.24,0.0250140989441681,0.0488614020514045,95.7,1.4016,23.43,down
ZNF732,3,-0.631,0.281,-2.24,0.0250186318492372,0.0488661788034037,84.8,0.1928,13.15,down
PUM2,3,-0.306,0.137,-2.24,0.0250257762888156,0.04887605515976,92.8,0.0503,27.73,down
