gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
DDAH2,3,-0.871,0.051,-17.06,3.18932722681183e-65,6.02088395584179e-63,0,0,0.38,down
CH507-42P11.7,2,-2.574,0.151,-17.03,4.51842185004363e-65,8.46173896701371e-63,0,0,0.07,down
FAM166B,2,-1.721,0.101,-17.03,5.0969011745193e-65,9.46931425351764e-63,13.3,0.0038,1.15,down
HSD17B13,2,-3.397,0.2,-17.02,5.36174346748477e-65,9.88291754569694e-63,0,0,0.09,down
FBXL16,3,-1.018,0.06,-16.99,9.51840399061493e-65,1.74075249231488e-62,0,0,0.85,down
CXCL17,2,3.16,0.186,16.99,9.92401227230962e-65,1.80086204094958e-62,0,0,0.17,up
LY6D,3,1.165,0.069,16.98,1.14792503551331e-64,2.06705978125624e-62,0,0,1.51,up
BLNK,3,1.357,0.08,16.96,1.73892233750925e-64,3.10736129761482e-62,46.3,0.0083,3.72,up
RP11-426L16.10,3,-0.751,0.044,-16.91,3.64194325279328e-64,6.45865527307863e-62,0,0,0.75,down
RAPGEFL1,3,-0.686,0.041,-16.86,8.75193172183638e-64,1.54040578704111e-61,0,0,0.58,down
SYP,2,-0.944,0.056,-16.85,1.14135248995926e-63,1.99387465951166e-61,0,0,0.53,down
CASQ2,2,-1.772,0.105,-16.84,1.31695346195979e-63,2.28359730303827e-61,0,0,0.5,down
RAB27A,3,0.963,0.057,16.8,2.53747729220529e-63,4.36763278920835e-61,29,0.0031,2.81,up
LMOD1,2,-1.474,0.088,-16.79,2.74132695896321e-63,4.68406735637735e-61,0,0,0.82,down
KLRB1,2,1.746,0.104,16.75,5.55294753401423e-63,9.41948904519849e-61,0,0,0.64,up
PSCA,2,-2.159,0.129,-16.74,6.59876004317495e-63,1.11129765360203e-60,0,0,0.52,down
HTR3A,2,4.233,0.253,16.73,7.31502186182298e-63,1.22312390545296e-60,0,0,0.01,up
RP4-681L3.2,2,2.847,0.17,16.7,1.20713878091946e-62,2.00410721436479e-60,0,0,0.11,up
RP11-303G3.6,2,-2.332,0.14,-16.7,1.31213331894392e-62,2.1630794974055e-60,0,0,0.51,down
SRD5A3,3,0.875,0.052,16.69,1.53622876053476e-62,2.51479573813694e-60,0,0,1.66,up
PLCH2,3,-1.144,0.069,-16.66,2.63647730244273e-62,4.28592341478346e-60,0,0,0.75,down
S100A7,3,8.11,0.487,16.65,3.08886381759695e-62,4.98670435214668e-60,67,0.3971,6.06,up
