"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.96455629180426e-10,-0.273835529897478,0.343,0.414,4.75127939172861e-06,"PQBP1"
1.98468121007037e-10,-0.274761210187866,0.667,0.737,4.79995150655519e-06,"HSPE1"
2.05514801707511e-10,0.864755844797838,0.275,0.217,4.97037547929616e-06,"EHD4"
2.07769980500388e-10,-0.155875283536484,0.767,0.831,5.02491697840189e-06,"COX6B1"
2.22169536922018e-10,-1.30447184878761,0.053,0.101,5.373170250459e-06,"SEMA3C"
2.30022489445171e-10,0.525583158418358,0.391,0.338,5.56309390723146e-06,"PSMB9"
2.30950641607073e-10,0.574876264879954,0.364,0.301,5.58554126726706e-06,"PTTG1IP"
2.4852012986007e-10,-0.619436998528616,0.167,0.232,6.01045934066579e-06,"NOTCH2"
2.72301001357074e-10,-0.131298165073237,0.95,0.964,6.58559971782083e-06,"RPLP0"
2.74349447468012e-10,-0.268111214361148,0.354,0.428,6.63514138701387e-06,"SAR1A"
2.7486402617599e-10,-0.639074666992869,0.182,0.249,6.64758647306632e-06,"GRHL3"
2.76975672327889e-10,-0.310256960851244,0.406,0.475,6.69865663525e-06,"MRPL27"
2.7945686645245e-10,0.699533975986336,0.18,0.127,6.75866431515251e-06,"BTN3A2"
2.82124845616429e-10,-0.263133744674939,0.447,0.522,6.82318939123333e-06,"PPP1CC"
2.87758532853809e-10,1.05938462225979,0.15,0.102,6.95944011706936e-06,"LAMA3"
2.87919588822327e-10,-0.626758330506885,0.221,0.288,6.96333525566799e-06,"KPNA2"
2.95934905269222e-10,-0.275113068551535,0.326,0.402,7.15718568393613e-06,"NXT1"
2.97965865019427e-10,-0.292756571022336,0.493,0.556,7.20630444549484e-06,"ZNF207"
3.01611778122396e-10,-0.117796025687624,0.851,0.885,7.29448085389015e-06,"CHCHD2"
3.04268770293972e-10,-0.238202286047072,0.339,0.413,7.35874020955971e-06,"GNL3"
3.28207666622242e-10,0.126212128564836,0.991,0.987,7.93770241725891e-06,"TPT1"
3.29283039729805e-10,-0.451996188338022,0.282,0.354,7.96371031586534e-06,"COPS3"
3.33608306030494e-10,0.433844012569285,0.672,0.683,8.06831688134749e-06,"ARLN"
3.34926893116606e-10,-0.15273732114975,0.569,0.643,8.10020691002513e-06,"MDH2"
3.40471805204876e-10,-0.130406482089634,0.426,0.519,8.23431060887993e-06,"TMED3"
3.41912931080974e-10,0.814349169598781,0.145,0.098,8.26916423819335e-06,"SLC39A2"
3.5121021605741e-10,-0.417597546306587,0.209,0.278,8.49401907534845e-06,"GTPBP4"
3.58897404357162e-10,1.1994591210771,0.181,0.131,8.67993372437797e-06,"LOC101927164"
3.6031967696266e-10,-0.324064377321622,0.323,0.398,8.71433138734193e-06,"IVNS1ABP"
3.63336587880022e-10,-0.691126326546548,0.225,0.3,8.78729537787833e-06,"AREG"
3.63385345580082e-10,-0.225580724561062,0.523,0.591,8.78847458285427e-06,"NDUFA6"
3.6766134802413e-10,-0.827169848582288,0.061,0.111,8.89188970196358e-06,"CREB5"
3.87397723747074e-10,0.465081398035972,0.232,0.169,9.36921394882298e-06,"RPS6KA3"
3.92948436795524e-10,0.824624630877951,0.165,0.113,9.50345794389975e-06,"SRGAP2"
3.99247312419545e-10,0.624828008134269,0.323,0.255,9.6557962508667e-06,"EFCAB14"
4.00455924865817e-10,-0.13269895964421,0.644,0.712,9.68502654287978e-06,"SET"
4.11878135009252e-10,-0.411410051314319,0.123,0.186,9.96127269519875e-06,"PMEPA1"
4.14058897282578e-10,0.947728139419191,0.121,0.077,1.00140144307792e-05,"LXN"
4.17681329113786e-10,0.834380333144047,0.159,0.111,1.01016229446169e-05,"UPP1"
4.35531402468498e-10,-0.566464388778463,0.113,0.172,1.05333269687006e-05,"TAF4B"
4.44056455904249e-10,-0.340143283992131,0.328,0.399,1.07395053860443e-05,"TOB2"
4.4701157590115e-10,-0.137877005086422,0.853,0.904,1.08109749631693e-05,"HNRNPA1"
4.48768979914963e-10,0.592607725850095,0.211,0.151,1.08534777792434e-05,"CDH13"
4.55681929131327e-10,2.63532278158054,0.1,0.06,1.10206674560411e-05,"HBB"
4.60109524543195e-10,0.481274511785389,0.337,0.268,1.11277488510772e-05,"FKBP9"
4.62464452620214e-10,0.928988215195675,0.322,0.268,1.11847027866199e-05,"SPRR1B"
4.63603538596138e-10,-0.474168843156474,0.283,0.358,1.12122515809476e-05,"FNIP1"
4.80599564294692e-10,0.586294683788059,0.315,0.254,1.16233004624671e-05,"BCKDK"
4.83727184423723e-10,0.643747424813731,0.21,0.152,1.16989419552877e-05,"CPTP"
5.02602676030398e-10,-0.261318683990565,0.395,0.452,1.21554457197952e-05,"MRPL4"
5.11493920953891e-10,-0.332383829064301,0.071,0.124,1.23704804782698e-05,"RUNX1"
5.22493048619749e-10,-0.245618990675073,0.683,0.733,1.26364943808686e-05,"CCNL1"
