"gene","k","dl_logFC","mf_logFC","dl_SE","mf_SE","dl_I2","mf_I2","dl_P","mf_P"
"TSPYL1",3,0.00839548333811871,0.0083954833381187,0.0454248774405928,0.0454248774405929,54.845917421664,54.845917421664,0.853369227670006,0.853369227670006
"RAPGEF6",3,-0.112358742773325,-0.112358742773325,0.148034247224473,0.148034247224473,94.2399754273762,94.2399754273762,0.447849529596896,0.447849529596896
"ARFGEF2",3,0.112217812816318,0.112217812816318,0.0265633904101412,0.0265633904101412,0,0,2.39441031287703e-05,2.39441031287705e-05
"DBF4P1",3,0.881800412522675,0.881800412522674,0.14756184867523,0.14756184867523,61.5676767749659,61.5676767749659,2.28960743968182e-09,2.28960743968182e-09
"MAN1C1",3,-0.807876677583088,-0.807876677583087,0.270640650228473,0.270640650228474,89.6647165764985,89.6647165764986,0.00283529218372505,0.00283529218372521
"TEX264",3,0.140766617436016,0.140766617436016,0.0499884107779072,0.0499884107779071,18.7187736194059,18.7187736194059,0.00486279294307591,0.00486279294307593
"RP4-631H13.6",3,0.0455153161363532,0.0455153161363532,0.117027937711678,0.117027937711678,27.839238370325,27.839238370325,0.697330202748672,0.697330202748671
"HECTD2",3,-0.161109526943228,-0.161109526943228,0.0684585501263835,0.0684585501263836,25.2827201537271,25.2827201537272,0.0186032136864296,0.0186032136864297
"TMTC4",3,-0.071731935644881,-0.0717319356448809,0.0828816453159689,0.0828816453159689,69.9333955297127,69.9333955297127,0.386778504668544,0.386778504668545
"NKTR",3,-0.181689726228791,-0.181689726228791,0.0733311871890301,0.0733311871890301,0,0,0.0132247215847891,0.0132247215847892
"TMEM65",3,0.269010343514457,0.269010343514457,0.0983859234604767,0.0983859234604767,73.110349761627,73.110349761627,0.00625251935807436,0.00625251935807438
"PISD",3,0.00873499119126363,0.00873499119126361,0.0504661867395184,0.0504661867395184,38.6538559136117,38.6538559136118,0.862583816888277,0.862583816888277
"ADGRG1",3,-0.00505090900064231,-0.00505090900064232,0.0986258067007718,0.0986258067007719,71.5006499688695,71.5006499688695,0.959155909586998,0.959155909586998
"AF131217.1",3,-1.2003565872196,-1.2003565872196,0.143524316490678,0.143524316490678,0,0,6.09170326977314e-17,6.09170326977305e-17
"THRA",3,-0.805267512422368,-0.805267512422368,0.217577487297736,0.217577487297737,92.1997365493868,92.1997365493868,0.00021470000707147,0.000214700007071471
"CKB",3,-0.620601040485274,-0.620601040485274,0.201995565046902,0.201995565046902,80.7404054937894,80.7404054937894,0.00212380662480968,0.00212380662480968
"MC1R",3,-0.135521542242824,-0.135521542242824,0.195987859265308,0.195987859265308,74.3084462746666,74.3084462746666,0.489264402399833,0.489264402399833
"MBTPS1",3,-0.210003333110148,-0.210003333110148,0.0699160783019612,0.0699160783019612,88.0297452879594,88.0297452879594,0.00266763209915459,0.00266763209915459
"RP11-1017G21.5",3,-0.0331756669248363,-0.0331756669248365,0.265748929237347,0.265748929237347,83.8983224396754,83.8983224396754,0.900651498892529,0.900651498892529
"RP1-71H24.1",3,2.43581837615386,2.43581837615386,0.267457247916277,0.267457247916277,60.7405176561054,60.7405176561055,8.44431050067537e-20,8.44431050067606e-20
"CTC-360G5.8",3,0.299691282885241,0.299691282885241,0.107951749131473,0.107951749131473,83.0361588413745,83.0361588413745,0.00550052026986159,0.00550052026986159
"ETNK2",3,-1.7176795341249,-1.7176795341249,0.144627793733643,0.144627793733643,55.8369411288853,55.8369411288853,1.56698288191834e-32,1.56698288191844e-32
"MUSTN1",3,0.181571557684674,0.181571557684674,0.519813806851427,0.519813806851428,90.7241857813407,90.7241857813407,0.726863239279797,0.726863239279796
"RP11-696N14.1",3,0.593908125658581,0.593908125658581,0.0846891706044528,0.0846891706044528,0,0,2.33597037514471e-12,2.33597037514475e-12
"MED23",3,-0.104455161488188,-0.104455161488188,0.0294128096239668,0.0294128096239668,0,0,0.000383261372824291,0.000383261372824291
"TMEM39B",3,0.233445598588991,0.233445598588991,0.0674654547898233,0.0674654547898233,50.7844264458522,50.7844264458522,0.000539725829528516,0.000539725829528518
