"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","fdr_BH"
4.73072736072692e-37,-0.119361551846725,0.471,0.58,1.14412641219181e-32,"ERGIC3",1.8067479348243e-36
4.89753264458941e-37,0.660066744528413,0.303,0.248,1.18446827009395e-32,"VAMP5",1.86888199488072e-36
5.01750066519233e-37,-0.256700183005888,0.203,0.277,1.21348253587677e-32,"NR4A2",1.91305378007039e-36
5.41848260670643e-37,-0.138139695200314,0.315,0.406,1.31046001843195e-32,"CIB1",2.06420549639714e-36
5.63147981708612e-37,-0.171433596825463,0.139,0.207,1.36197339376228e-32,"RIN1",2.14354986164192e-36
5.79730185478033e-37,-0.167743090739331,0.254,0.334,1.40207745357862e-32,"CWC25",2.20481974225775e-36
6.14982816512829e-37,0.962822541658195,0.22,0.168,1.48733594173628e-32,"DOCK9",2.33693470274875e-36
6.18961211568502e-37,0.768451719497386,0.178,0.128,1.49695769017842e-32,"SLFN5",2.35008600479312e-36
6.38605174506175e-37,-0.260883034767398,0.191,0.269,1.54446661454318e-32,"ALDH3A1",2.42264502709485e-36
6.42690844718715e-37,-0.105792272612279,0.78,0.875,1.55434780795221e-32,"TMA7",2.4361094539797e-36
6.65532447220973e-37,-0.155061480415781,0.35,0.437,1.60959022360392e-32,"MANF",2.52058619085107e-36
7.27213863871982e-37,-0.122086804733924,0.387,0.482,1.75876672977439e-32,"NDUFS3",2.75189846320223e-36
7.48881805725888e-37,-0.278083396306178,0.183,0.253,1.81117064714806e-32,"LONRF1",2.83153395487199e-36
7.6870888462763e-37,-0.26560786369649,0.136,0.202,1.85912243747192e-32,"LTB4R2",2.90408240024465e-36
7.87459188327049e-37,-0.320435654199328,0.125,0.188,1.90447004696897e-32,"EZH2",2.97244569758365e-36
7.92322016876202e-37,-0.110732430492856,0.498,0.593,1.91623079781509e-32,"UBE2L3",2.98831750717179e-36
8.26832194333122e-37,-0.161612508445953,0.331,0.418,1.99969366199465e-32,"LRRFIP2",3.11588796221303e-36
8.33259987135233e-37,-0.344703914441985,0.127,0.19,2.01523927888656e-32,"SGMS2",3.13750713232263e-36
8.83265169994141e-37,-0.20711726287803,0.157,0.226,2.13617681363083e-32,"GSDMC",3.32303822447671e-36
8.87676846491728e-37,-0.377032450410194,0.061,0.112,2.14684645324024e-32,"GRHL2",3.33687132443621e-36
9.70951003071876e-37,-0.184318854043639,0.268,0.349,2.34824500092933e-32,"CLDND1",3.6468887551277e-36
1.01658254366105e-36,-0.980253464270523,0.061,0.11,2.45860488184426e-32,"NICOL1",3.81512506674779e-36
1.01828961359248e-36,-0.151927005386035,0.164,0.239,2.46273343047342e-32,"GSS",3.81837583428856e-36
1.2190766460686e-36,-0.12464459915376,0.297,0.381,2.94833686851691e-32,"FKBP4",4.5675140674897e-36
1.36410613434061e-36,-0.569750404757518,0.063,0.114,3.29909068590276e-32,"TMEM51",5.10668256887115e-36
1.36784082715485e-36,-0.150485307630678,0.177,0.25,3.308123040474e-32,"STARD5",5.11644579580739e-36
1.48443245545283e-36,-0.183855503385768,0.318,0.404,3.59009989351268e-32,"THUMPD3-AS1",5.54798994256074e-36
2.0390727651674e-36,-0.429289174280776,0.081,0.136,4.93149748255735e-32,"PIK3C2G",7.61466235742201e-36
2.14859775006478e-36,0.642017011603454,0.155,0.105,5.19638365853166e-32,"TNS1",8.01707673216448e-36
2.29701479831768e-36,-0.107152701001066,0.209,0.285,5.55533028973131e-32,"ZNF655",8.56382939175746e-36
2.33197062506968e-36,-0.190042065610915,0.227,0.305,5.63987095673101e-32,"TNKS1BP1",8.68702100774522e-36
2.40173211488018e-36,-0.212204930513606,0.204,0.279,5.80858911983772e-32,"NTMT1",8.939561912845e-36
2.417597394654e-36,-0.167546926082794,0.315,0.399,5.84695929897071e-32,"TMEM87A",8.9912446921571e-36
2.42857690699576e-36,-0.27090696930096,0.212,0.286,5.87351324956924e-32,"DCUN1D5",9.02468718057917e-36
